GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALAJE001,ALAJE002,ALAJE003,ALAJE004,ALAJE005,ALAJE006,ALAJE007,ALAJE008,ALAJE009,ALAJE010,ALAJE011,ALAJE012,ALAJE013,ALAJE014,ALAJE015,ALAJE016,ALAJE017,NAME_M,ALAJM001,ALAJM002,ALAJM003,ALAJM004,ALAJM005,ALAJM006,ALAJM007,ALAJM008,ALAJM009,ALAJM010,ALAJM011,ALAJM012,ALAJM013,ALAJM014,ALAJM015,ALAJM016,ALAJM017
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",82325,4068,3189,4467,3293,4062,4490,4587,3748,5265,5139,6450,10969,9181,3960,4064,5393,"Baldwin County, Alabama",3231,1363,1126,1460,1165,1538,1350,1544,1347,1477,1592,1531,1975,2283,1095,1063,1249
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",44636,4307,3273,2255,1513,3081,2761,2787,1375,1534,3718,4627,5439,4116,1642,1229,979,"Calhoun County, Alabama",2010,1386,1082,720,555,1048,927,876,647,608,1088,1203,1453,1111,618,713,378
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",32090,1410,1719,1757,1760,1882,2359,1009,2151,1608,3648,3406,4921,1881,867,929,783,"Cullman County, Alabama",1233,509,699,574,716,979,720,399,826,536,1001,1038,1132,622,398,507,453
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",24880,1790,2095,1726,2162,1145,735,1841,1158,1203,2549,2164,2659,1845,880,755,173,"DeKalb County, Alabama",1347,724,953,626,811,611,459,689,539,485,751,545,831,555,457,506,144
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",30712,877,577,2674,1390,1430,1873,941,1827,404,2740,3695,3511,3290,1725,1971,1787,"Elmore County, Alabama",1330,420,410,1019,730,738,891,427,896,270,842,942,984,1035,692,628,693
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",40053,3955,2524,3578,2776,3041,1699,1884,1934,1540,3985,3014,3889,1730,2393,1190,921,"Etowah County, Alabama",1930,1051,661,1028,952,787,653,667,643,562,1106,644,1322,596,896,581,505
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",39761,3656,2368,2249,2196,2102,2335,1710,1714,1498,3600,3897,4064,2942,1665,2054,1711,"Houston County, Alabama",1040,590,463,412,559,421,396,331,383,418,672,623,590,500,344,539,361
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",264753,25616,13321,11632,11945,11580,16000,10169,13680,9470,20262,24795,25939,22536,14894,15571,17343,"Jefferson County, Alabama",3376,2867,1972,2142,2345,1798,2469,2027,2184,1572,2319,2908,2853,2254,1876,2361,2092
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",38761,3621,2724,1928,2272,2068,1875,2143,2179,1552,2050,4384,5136,3115,1732,909,1073,"Lauderdale County, Alabama",1573,969,925,725,809,852,538,827,888,625,551,1207,1319,933,618,402,499
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",64448,7241,4051,4039,3479,1807,2235,2748,2800,2304,3574,7984,6347,4594,3795,3682,3768,"Lee County, Alabama",1810,1912,1368,1602,1234,874,824,1273,875,943,1259,1765,1760,1194,1160,1109,984
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",32020,1181,1887,1032,1657,1573,2344,750,863,1614,2279,3091,3776,4271,1787,2161,1754,"Limestone County, Alabama",1530,553,779,507,959,576,799,365,424,746,774,747,866,1066,588,727,604
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",155878,8067,6920,6857,7047,5987,7696,5704,6596,5983,10047,12575,19353,14957,12399,14364,11326,"Madison County, Alabama",2604,1694,1324,1419,1446,1559,1573,1488,1722,1420,1807,1874,2347,1992,2053,1839,1659
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",35330,2813,1623,1747,2704,1452,1406,2011,2192,1784,3693,3813,4244,1758,1702,1260,1128,"Marshall County, Alabama",1274,717,490,585,752,574,526,625,773,799,1057,889,901,522,774,456,469
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",155946,14009,8974,10374,7147,7522,8419,6932,7232,7948,14352,17250,16433,10984,6598,6772,5000,"Mobile County, Alabama",2876,2240,1833,1417,1414,1428,1283,1330,1327,1818,2501,2342,1994,1510,1319,1300,1173
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",88864,7165,3185,4183,3995,4352,4586,4338,4288,5346,8475,9473,9839,8387,3440,3970,3842,"Montgomery County, Alabama",2242,1599,880,930,1169,1345,1220,1345,1228,1470,1900,2133,1715,1545,898,922,857
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",46470,3149,2480,1791,2574,2680,2429,1477,2017,2473,4713,4383,5614,4114,2353,2283,1940,"Morgan County, Alabama",1676,939,924,752,860,981,831,656,660,748,1105,1007,1262,1135,769,861,722
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",32829,1271,940,1733,833,879,1992,1441,1395,1292,2257,4363,4534,5736,1570,1306,1287,"St. Clair County, Alabama",1261,680,602,1047,435,483,1124,985,706,655,848,1436,1209,1339,774,530,486
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",84048,3300,2320,2780,3446,2475,3279,2903,2744,3437,5533,9526,11239,9593,6994,6729,7750,"Shelby County, Alabama",1602,1067,781,1010,1107,849,1100,956,889,868,1057,1677,1697,1597,1356,1366,1171
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",30602,2965,2071,1871,2260,1387,2357,1145,549,656,1909,3102,4122,3133,1228,1106,741,"Talladega County, Alabama",1841,813,782,586,740,512,1072,605,275,429,796,1006,1029,1067,633,574,442
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",74259,6695,3686,4244,3602,2422,5736,3888,2615,2841,5689,7390,6252,7736,3476,4087,3900,"Tuscaloosa County, Alabama",2679,1470,1167,1430,1359,826,1451,1404,941,711,1427,1609,1110,1725,704,1057,1004
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",25153,1852,1339,2130,1486,1309,1425,1676,1103,994,1736,2352,3012,2301,1144,821,473,"Walker County, Alabama",1223,575,556,718,637,648,614,620,461,472,622,649,887,680,503,394,372
"G0200200","2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",105198,4044,2878,2804,2045,2920,4010,2944,3884,3799,7196,11300,13751,12129,9340,11374,10780,"Anchorage Municipality, Alaska",2489,1233,1050,1002,795,1155,1212,990,1026,1253,1408,2029,1826,1843,1732,1578,1717
"G0200900","2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",35556,982,663,1672,1069,924,1106,1737,1061,1303,3268,4360,3954,3169,2527,3344,4417,"Fairbanks North Star Borough, Alaska",1761,485,420,740,684,524,554,794,574,613,1405,1296,1193,904,789,971,1545
"G0201700","2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",32736,1480,934,1079,1434,847,1401,911,1265,969,2217,3917,4787,3061,2823,2846,2765,"Matanuska-Susitna Borough, Alaska",739,498,355,340,444,292,355,307,458,359,549,755,723,652,495,562,603
"G0400010","2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",20925,4671,1389,1266,1586,1411,1173,916,1004,649,1594,1443,1305,1526,543,297,152,"Apache County, Arizona",946,953,510,356,420,516,411,318,339,349,582,716,505,640,328,174,118
"G0400030","2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",51982,4049,2357,1701,3461,2157,3542,3298,2584,3709,3513,4617,5585,4059,3358,2545,1447,"Cochise County, Arizona",1532,1207,714,577,1069,764,1200,1020,904,1065,975,937,1170,887,883,773,593
