GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMR7E001,AMR7E002,AMR7E003,AMR7E004,AMR7E005,AMR7E006,AMR7E007,AMR7E008,AMR7E009,AMR7E010,AMR7E011,AMR7E012,AMR7E013,AMR7E014,AMR7E015,AMR7E016,AMR7E017,NAME_M,AMR7M001,AMR7M002,AMR7M003,AMR7M004,AMR7M005,AMR7M006,AMR7M007,AMR7M008,AMR7M009,AMR7M010,AMR7M011,AMR7M012,AMR7M013,AMR7M014,AMR7M015,AMR7M016,AMR7M017
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",21559,1331,982,1528,1134,1114,726,903,1062,765,1442,2218,2893,2248,1288,1027,898,"Autauga County, Alabama",366,290,272,320,318,290,208,238,287,216,261,385,500,454,249,281,255
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",84047,4352,4011,2930,3506,3935,4450,3789,4314,3655,6148,7970,11536,7621,5375,4893,5562,"Baldwin County, Alabama",1143,870,629,472,536,612,761,583,697,630,715,844,1042,775,619,603,731
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",9322,1365,706,972,742,362,515,469,413,279,699,824,680,635,214,206,241,"Barbour County, Alabama",338,263,138,186,146,114,137,141,122,71,142,229,148,175,67,71,109
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",7259,799,512,382,382,377,283,217,322,277,628,778,1129,600,212,204,157,"Bibb County, Alabama",299,235,210,138,135,130,137,108,129,113,221,216,277,186,98,111,93
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",21205,2145,968,885,1437,937,1445,961,1122,987,1794,1996,2283,1540,1091,1034,580,"Blount County, Alabama",430,432,206,212,352,237,313,260,271,236,293,373,320,306,247,215,163
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",3429,625,336,138,271,190,174,80,111,84,441,155,258,388,38,45,95,"Bullock County, Alabama",195,164,169,75,124,82,118,79,81,54,177,79,96,145,35,67,60
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",6649,525,519,488,364,432,244,369,396,340,424,622,622,565,343,222,174,"Butler County, Alabama",282,143,158,139,124,126,76,104,96,96,112,152,119,127,99,110,63
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",44572,3546,2702,2391,2459,2740,2505,2245,1888,1741,4182,4362,5445,3857,1879,1480,1150,"Calhoun County, Alabama",642,449,328,456,357,457,437,411,316,337,606,529,589,501,303,318,258
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",13582,819,885,1101,792,1107,1000,693,529,514,1256,1222,1834,814,582,220,214,"Chambers County, Alabama",418,200,243,190,185,267,267,184,168,186,261,240,303,197,258,95,122
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",10836,707,561,1010,527,880,731,729,538,253,896,1101,1145,817,209,375,357,"Cherokee County, Alabama",476,199,143,246,188,333,194,199,134,86,207,240,215,189,103,119,154
"G0100210","2016-2020","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",17140,1243,857,1101,966,1379,714,890,742,410,1752,1737,2350,1340,538,720,401,"Chilton County, Alabama",358,294,194,324,220,336,226,287,249,154,323,319,343,312,170,202,179
