        AMR7E001:    Total
        AMR7E002:    Less than $10,000
        AMR7E003:    $10,000 to $14,999
        AMR7E004:    $15,000 to $19,999
        AMR7E005:    $20,000 to $24,999
        AMR7E006:    $25,000 to $29,999
        AMR7E007:    $30,000 to $34,999
        AMR7E008:    $35,000 to $39,999
        AMR7E009:    $40,000 to $44,999
        AMR7E010:    $45,000 to $49,999
        AMR7E011:    $50,000 to $59,999
        AMR7E012:    $60,000 to $74,999
        AMR7E013:    $75,000 to $99,999
        AMR7E014:    $100,000 to $124,999
        AMR7E015:    $125,000 to $149,999
        AMR7E016:    $150,000 to $199,999
        AMR7E017:    $200,000 or more
