GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANY7E001,ANY7E002,ANY7E003,ANY7E004,ANY7E005,ANY7E006,ANY7E007,ANY7E008,ANY7E009,ANY7E010,ANY7E011,ANY7E012,ANY7E013,ANY7E014,ANY7E015,ANY7E016,ANY7E017,NAME_M,ANY7M001,ANY7M002,ANY7M003,ANY7M004,ANY7M005,ANY7M006,ANY7M007,ANY7M008,ANY7M009,ANY7M010,ANY7M011,ANY7M012,ANY7M013,ANY7M014,ANY7M015,ANY7M016,ANY7M017
"G0100030","2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",94105,4782,2620,3248,4003,4287,4322,2920,5699,3884,9110,7392,15239,7454,6173,7722,5250,"Baldwin County, Alabama",3462,1456,1159,1287,1528,1640,1393,1088,1942,1412,2064,1627,2908,1704,1675,2068,1547
"G0100150","2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",44631,4377,3271,3163,3431,2092,2023,1525,2161,1172,3496,4378,6993,2690,1502,1272,1085,"Calhoun County, Alabama",1889,1044,904,1105,1029,915,711,593,675,508,864,1047,1604,1057,546,594,439
"G0100430","2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",35131,1779,1529,1852,1834,2041,1858,1366,2075,2125,2638,3227,4544,2672,2318,1720,1553,"Cullman County, Alabama",1361,870,706,788,718,798,763,509,752,759,774,719,1165,833,963,818,627
"G0100490","2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",24979,1408,2515,2353,1650,1232,1283,1618,984,909,1248,2449,2442,1778,1124,1318,668,"DeKalb County, Alabama",1117,585,935,970,614,515,718,607,431,478,567,717,775,605,516,464,409
"G0100510","2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",32108,1554,1606,1931,792,1394,1484,1821,2292,1840,1572,3030,4235,3964,2011,1587,995,"Elmore County, Alabama",1460,674,805,1019,504,744,739,929,908,1011,759,888,1003,1060,910,689,416
"G0100550","2021","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",38006,3061,2961,2619,2015,1690,2151,2332,2074,2006,3527,4024,3029,2900,1921,1050,646,"Etowah County, Alabama",1724,773,789,929,650,570,885,823,702,688,824,1086,829,1075,612,428,345
"G0100690","2021","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",44058,3750,2876,2222,2448,2676,2809,2626,1893,1791,3460,4273,4479,2643,2368,2047,1697,"Houston County, Alabama",937,644,487,499,497,680,603,593,498,444,561,776,733,500,616,578,465
"G0100730","2021","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",270147,21995,13598,13699,13317,9566,13283,13421,11900,10694,22879,25507,30497,21046,13589,15493,19663,"Jefferson County, Alabama",3778,2875,2116,2226,2170,1636,2010,2205,2335,2240,2832,2732,3096,2690,2031,1927,2480
"G0100770","2021","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",38250,2681,1976,1901,2515,1836,1916,2175,2793,1272,2898,2968,5158,2705,1960,2188,1308,"Lauderdale County, Alabama",1562,962,744,835,917,836,818,908,971,512,908,842,1165,906,823,821,511
"G0100810","2021","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",67358,7509,4071,2301,2908,2751,2319,4217,3291,2456,5143,6781,8152,5947,2213,4051,3248,"Lee County, Alabama",2031,2041,1299,841,1173,913,1137,1696,1300,814,1409,1588,1854,1556,766,1231,1028
"G0100830","2021","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"0500000US01083","01083","Limestone County, Alabama",40685,1531,2075,2602,920,1253,1858,1025,2333,1082,4091,2942,4277,4425,2724,5178,2369,"Limestone County, Alabama",1358,724,947,862,498,861,810,558,830,585,1628,1193,1243,1641,996,1628,1094
"G0100890","2021","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"0500000US01089","01089","Madison County, Alabama",164493,8842,4514,4831,4555,4467,5587,7035,7820,4923,11538,13382,24314,16367,11560,16693,18065,"Madison County, Alabama",2228,1925,1095,1691,1231,1464,1266,2265,1775,1761,2009,2063,2593,2234,1925,2416,2480
"G0100950","2021","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"0500000US01095","01095","Marshall County, Alabama",36003,3508,1435,1670,2756,2236,1237,1887,1993,1212,2897,3596,3801,2670,1288,2361,1456,"Marshall County, Alabama",1538,985,641,727,928,832,416,677,718,516,898,1043,854,764,458,920,668
"G0100970","2021","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"0500000US01097","01097","Mobile County, Alabama",162963,14333,9591,7994,7245,8770,7475,10638,7992,7845,12839,16709,16994,12587,8392,7480,6079,"Mobile County, Alabama",2840,2126,1628,1509,1235,1559,1421,1879,1686,1675,2105,2196,2405,2064,1673,1525,1278
"G0101010","2021","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"0500000US01101","01101","Montgomery County, Alabama",92407,7902,6840,4957,4947,5278,4807,4140,3978,2977,7012,8919,11487,6497,4403,3965,4298,"Montgomery County, Alabama",2282,1743,1862,1385,1395,1351,1270,1422,1137,976,1529,1795,1968,1328,1154,961,1201
"G0101030","2021","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"0500000US01103","01103","Morgan County, Alabama",47558,3422,2645,2196,3215,2032,2218,1364,2209,2747,3373,3881,6163,4231,2898,3056,1908,"Morgan County, Alabama",1574,1105,1144,883,1388,665,936,478,750,994,1079,1104,1389,1042,789,902,656
"G0101150","2021","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"0500000US01115","01115","St. Clair County, Alabama",33093,1084,2361,1390,1141,1461,2114,1089,1545,1263,2942,3003,5064,3185,2587,1409,1455,"St. Clair County, Alabama",1559,523,1286,631,658,764,853,521,749,682,1197,851,1417,1188,1179,630,760
