GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AP2FE001,AP2FE002,AP2FE003,AP2FE004,AP2FE005,AP2FE006,AP2FE007,AP2FE008,AP2FE009,AP2FE010,AP2FE011,AP2FE012,AP2FE013,AP2FE014,AP2FE015,AP2FE016,AP2FE017,NAME_M,AP2FM001,AP2FM002,AP2FM003,AP2FM004,AP2FM005,AP2FM006,AP2FM007,AP2FM008,AP2FM009,AP2FM010,AP2FM011,AP2FM012,AP2FM013,AP2FM014,AP2FM015,AP2FM016,AP2FM017
"G0100030","2022","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",98854,5500,3760,4962,4615,3014,3629,2465,5020,3464,7536,8380,14058,10426,6654,7133,8238,"Baldwin County, Alabama",3781,1833,1562,1542,1547,1195,1224,855,1598,1517,1651,1637,2878,1842,1675,1673,1850
"G0100150","2022","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",45701,4151,2721,1735,1615,2300,2802,2350,2902,1519,3678,4099,6208,3894,2436,1876,1415,"Calhoun County, Alabama",1562,1139,1018,732,693,867,1068,997,1224,637,978,926,1300,973,935,798,570
"G0100430","2022","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",35966,2638,1690,2046,2043,1390,1528,1650,1159,880,1852,3387,5742,3883,1542,2418,2118,"Cullman County, Alabama",1274,943,724,964,915,567,516,701,584,382,663,797,1602,1118,774,825,768
"G0100490","2022","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",26459,2523,1365,1778,1618,1188,962,1070,1328,1518,2244,2613,2796,2459,1190,1445,362,"DeKalb County, Alabama",1114,838,536,695,656,520,484,464,645,604,710,884,766,868,656,743,288
"G0100510","2022","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",34061,1568,983,866,998,1282,821,1588,1976,1525,2811,3651,5123,4214,1520,3037,2098,"Elmore County, Alabama",981,647,569,559,429,594,395,698,903,722,895,1116,1038,1187,652,750,832
"G0100550","2022","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",39956,1968,2835,2062,3163,2117,1256,1651,1746,770,3764,5019,5253,3009,1694,1780,1869,"Etowah County, Alabama",1533,676,952,769,884,776,498,639,611,581,1140,1239,1177,851,684,763,808
"G0100690","2022","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",42417,3309,2398,1787,1967,1768,1597,1886,2228,2011,3643,3628,5464,3536,2121,2411,2663,"Houston County, Alabama",1234,560,482,470,457,396,343,547,471,392,738,761,941,705,472,455,715
"G0100730","2022","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",271877,18609,15326,10077,12397,13438,11429,10794,10250,9529,19385,24772,35251,20466,13473,20351,26330,"Jefferson County, Alabama",2948,2464,2390,1521,1890,2268,2328,2163,2007,1806,2594,3412,3238,2558,2257,2695,2610
"G0100770","2022","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",39021,2480,1877,1911,1820,1591,1487,2052,1588,1374,3467,4183,5369,3683,1684,2651,1804,"Lauderdale County, Alabama",1359,834,685,532,706,583,640,844,672,544,1102,966,1214,877,732,799,633
"G0100810","2022","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",71830,7907,2604,3823,3331,1434,3693,1879,3624,2555,5705,6449,7418,6079,5220,5174,4935,"Lee County, Alabama",1665,1747,876,1138,917,649,926,748,1218,953,1273,1382,1371,1217,1417,1145,1238
"G0100830","2022","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"0500000US01083","01083","Limestone County, Alabama",40036,2225,1339,1321,818,1096,748,1051,1119,1174,3033,3989,5887,4484,2255,4083,5414,"Limestone County, Alabama",1324,849,739,628,487,602,504,580,659,547,966,1025,1259,1286,769,989,1322
"G0100890","2022","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"0500000US01089","01089","Madison County, Alabama",166454,9187,4651,5062,4803,5966,5868,5481,6211,5955,11267,13632,19963,18579,14720,14129,20980,"Madison County, Alabama",2050,1926,1400,1268,1130,1858,1369,1469,1441,1604,2108,2331,2244,2704,2074,1924,1893
"G0100950","2022","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"0500000US01095","01095","Marshall County, Alabama",36611,2215,2433,2202,2173,1530,2133,1817,1982,787,3396,2838,3982,3403,2286,1619,1815,"Marshall County, Alabama",1519,564,766,939,799,330,793,632,735,296,960,712,850,850,678,443,531
"G0100970","2022","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"0500000US01097","01097","Mobile County, Alabama",162605,13488,9307,8155,10027,8835,6002,6889,6936,6234,11157,16139,17163,13948,8960,9758,9607,"Mobile County, Alabama",2909,2232,1742,1693,2086,2096,1193,1406,1270,1298,1568,1928,2454,2106,1619,1609,1766
"G0101010","2022","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"0500000US01101","01101","Montgomery County, Alabama",90527,7177,4129,4094,3694,5210,3343,3919,4246,3841,7670,7626,11998,9106,4720,5191,4563,"Montgomery County, Alabama",2385,1677,1271,1277,1523,1636,928,1391,1253,1112,2099,1473,2276,1786,1328,1176,1105
"G0101030","2022","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"0500000US01103","01103","Morgan County, Alabama",49140,2839,1925,1805,2318,2080,2210,1909,1743,2449,4285,5121,7476,4180,3373,3237,2190,"Morgan County, Alabama",1567,954,828,695,904,854,787,756,776,857,1194,1167,1278,1166,1016,812,776
"G0101150","2022","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"0500000US01115","01115","St. Clair County, Alabama",35558,2323,762,1481,1463,1474,1797,1131,1878,1419,2328,2667,5715,4859,2323,2417,1521,"St. Clair County, Alabama",1106,863,347,818,661,731,787,745,756,602,789,907,1150,1212,832,851,518
"G0101170","2022","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"0500000US01117","01117","Shelby County, Alabama",87755,4365,1356,1802,1067,1660,3134,1615,2815,2610,6175,8156,9973,11325,9276,10785,11641,"Shelby County, Alabama",1373,1162,528,766,488,849,1035,694,774,836,1302,1682,1646,1685,1589,1671,1605
"G0101210","2022","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"0500000US01121","01121","Talladega County, Alabama",34679,3148,1877,1677,1743,1086,1926,1291,1031,1585,3622,3016,4364,2594,2465,1810,1444,"Talladega County, Alabama",1137,1202,950,735,805,658,870,744,614,1082,1271,1018,1375,948,911,678,632
"G0101250","2022","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"0500000US01125","01125","Tuscaloosa County, Alabama",89075,8174,3617,3243,4201,3633,3318,2924,4217,3416,6921,8962,9791,7648,6631,6484,5895,"Tuscaloosa County, Alabama",2338,1872,1265,1270,1462,1262,1208,798,1098,954,1678,1736,2143,1563,1343,1517,1101
"G0200200","2022","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"0500000US02020","02020","Anchorage Municipality, Alaska",109856,4978,1542,2129,2571,1749,2357,2866,4260,2610,6531,9567,13282,14828,9433,14903,16250,"Anchorage Municipality, Alaska",2351,1453,718,863,977,709,880,968,1364,1090,1412,1667,1808,2109,1671,2242,2236
"G0200900","2022","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"0500000US02090","02090","Fairbanks North Star Borough, Alaska",37356,1462,1030,797,863,760,1884,752,1335,1298,2651,4040,5148,6750,2044,3548,2994,"Fairbanks North Star Borough, Alaska",1259,650,574,578,506,666,742,440,738,656,997,1371,1420,1738,689,1216,1116
"G0201700","2022","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"0500000US02170","02170","Matanuska-Susitna Borough, Alaska",39942,1422,1356,872,1043,1290,929,1310,1576,1029,2564,4039,5929,5386,3145,4282,3770,"Matanuska-Susitna Borough, Alaska",761,442,418,348,329,493,417,432,558,354,630,806,859,1019,662,777,715
"G0400010","2022","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"0500000US04001","04001","Apache County, Arizona",20690,3832,1420,1230,1249,784,1359,943,1059,626,1402,1243,1697,1445,855,871,675,"Apache County, Arizona",862,735,353,403,436,377,455,339,322,248,325,434,502,478,408,385,493
"G0400030","2022","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"0500000US04003","04003","Cochise County, Arizona",49981,3883,2167,1964,2719,1579,2806,2730,2447,2474,3820,5375,5610,4129,3009,2702,2567,"Cochise County, Arizona",1743,934,641,703,1008,566,869,994,786,979,876,1404,1119,954,898,869,880
"G0400050","2022","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"0500000US04005","04005","Coconino County, Arizona",53988,3806,1935,1241,2709,1696,2385,2870,2343,2342,4726,5152,6022,5849,4191,3285,3436,"Coconino County, Arizona",2026,1004,637,609,857,580,808,996,1018,870,1168,1233,1270,1361,1056,818,829
"G0400130","2022","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"0500000US04013","04013","Maricopa County, Arizona",1726554,81541,40012,44748,42331,50330,56127,51441,61672,57366,122435,165398,246534,197307,132318,171678,205316,"Maricopa County, Arizona",9366,5513,3984,3667,3945,4063,4633,4069,5045,5304,5839,7242,9376,7806,6184,7140,7662
"G0400150","2022","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"0500000US04015","04015","Mohave County, Arizona",99512,6056,5827,3676,4587,5559,5729,5119,3834,6039,7746,9749,12143,8472,4850,5152,4974,"Mohave County, Arizona",2531,1375,1378,1019,1100,1303,1328,1277,941,1498,1507,2171,1919,1594,1204,1329,1117
"G0400170","2022","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"0500000US04017","04017","Navajo County, Arizona",41415,4843,1856,2206,2195,2083,2886,1343,1826,1711,3356,3777,4440,3170,2303,2227,1193,"Navajo County, Arizona",1705,990,435,853,741,631,931,494,606,607,994,901,939,1029,863,815,534
"G0400190","2022","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"0500000US04019","04019","Pima County, Arizona",436469,27527,16641,16893,17867,19539,22261,18459,17190,18331,32242,41568,56327,38045,27797,33630,32152,"Pima County, Arizona",4503,3160,2662,2213,2659,2102,3018,2143,2082,3135,3314,3733,3990,3402,3005,3452,2731
"G0400210","2022","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"0500000US04021","04021","Pinal County, Arizona",164281,8018,3818,4167,3535,3574,4327,5671,6616,5251,15286,19737,27503,20997,12327,10879,12575,"Pinal County, Arizona",3199,1410,1088,1138,1165,1066,1224,1560,1613,1359,2143,2526,2756,3332,1928,1943,2218
"G0400250","2022","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"0500000US04025","04025","Yavapai County, Arizona",110928,5369,4318,5088,4397,3564,5424,3310,5825,5846,8624,12367,15200,9789,9247,5852,6708,"Yavapai County, Arizona",2223,1301,1066,1281,1173,794,1439,809,1198,1424,1591,1810,2184,1519,1782,1041,1354
"G0400270","2022","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"0500000US04027","04027","Yuma County, Arizona",80857,4044,3910,3069,4171,5317,4753,4377,3397,3417,8315,9444,9044,6902,3765,4142,2790,"Yuma County, Arizona",2056,1022,1270,1109,1426,1273,1437,1477,1074,1011,1626,1471,1670,1464,1070,1198,906
"G0500070","2022","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"0500000US05007","05007","Benton County, Arkansas",112045,3431,2218,2472,2776,2238,3754,3908,3807,2235,9708,11847,15619,14458,8115,11808,13651,"Benton County, Arkansas",2428,1065,741,895,846,967,1115,1154,972,638,2044,1886,2313,2437,1673,1901,1823
"G0500310","2022","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"0500000US05031","05031","Craighead County, Arkansas",44528,2130,3645,1840,3541,1219,1566,1538,1445,1830,2709,3598,5657,4064,3901,2783,3062,"Craighead County, Arkansas",1420,757,1500,694,1475,567,701,717,555,685,866,974,1381,1369,1389,868,932
"G0500450","2022","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"0500000US05045","05045","Faulkner County, Arkansas",49270,4306,1547,1290,2041,1775,2058,2685,2046,2298,2632,7696,5808,4796,2566,2779,2947,"Faulkner County, Arkansas",1239,1252,718,632,877,602,1078,1042,891,973,889,1811,1349,1201,766,908,1089
