GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,OJFE001,OJFE002,OJFE003,OJFE004,OJFE005,OJFE006,OJFE007,OJFE008,OJFE009,OJFE010,NAME_M,OJFM001,OJFM002,OJFM003,OJFM004,OJFM005,OJFM006,OJFM007,OJFM008,OJFM009,OJFM010
"G0100030","2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",190790,164641,16807,989,1494,0,1923,4936,410,4526,"Baldwin County, Alabama",0,1708,1848,873,246,184,1509,2158,591,2141
"G0100150","2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",117296,88621,25058,406,911,0,542,1758,102,1656,"Calhoun County, Alabama",0,1126,995,271,288,184,864,721,172,691
"G0100430","2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",80440,77576,923,88,425,46,214,1168,0,1168,"Cullman County, Alabama",0,319,244,100,318,83,246,386,184,386
"G0100490","2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71080,66799,546,346,210,0,1726,1453,18,1435,"DeKalb County, Alabama",0,1995,383,274,199,184,1932,1122,35,1122
"G0100510","2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80629,61181,16880,301,347,0,406,1514,75,1439,"Elmore County, Alabama",0,681,905,204,298,184,501,836,115,834
"G0100550","2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",104392,84874,15667,605,757,0,800,1689,0,1689,"Etowah County, Alabama",0,716,818,462,259,184,654,932,184,932
"G0100690","2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",103402,72596,27353,229,869,0,662,1693,79,1614,"Houston County, Alabama",0,462,349,151,179,184,413,412,105,415
"G0100730","2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",660009,351439,281191,1197,10345,186,9027,6624,240,6384,"Jefferson County, Alabama",0,2751,1464,503,447,195,2955,1208,195,1174
"G0100770","2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92542,80685,9214,530,236,0,64,1813,465,1348,"Lauderdale County, Alabama",0,480,859,243,267,184,112,871,487,612
"G0100810","2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",147257,103408,33585,479,4008,310,3385,2082,0,2082,"Lee County, Alabama",0,1591,930,280,407,507,1649,833,184,833
"G0100830","2012","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",87654,70756,10919,591,1087,0,2780,1521,172,1349,"Limestone County, Alabama",0,1343,750,206,183,184,1337,920,211,880
"G0100890","2012","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",343080,237507,84100,2583,7601,253,1894,9142,188,8954,"Madison County, Alabama",0,1883,2690,637,986,234,1094,2454,253,2458
"G0100950","2012","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",94776,85900,1981,388,571,0,4669,1267,207,1060,"Marshall County, Alabama",0,2867,304,249,110,184,2850,442,181,404
"G0100970","2012","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413936,250701,145353,3490,8242,44,972,5134,525,4609,"Mobile County, Alabama",0,980,1606,785,683,87,687,1887,413,1786
"G0101010","2012","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",230149,91036,127199,148,5170,96,3228,3272,712,2560,"Montgomery County, Alabama",0,1227,937,178,778,158,1356,1007,777,727
"G0101030","2012","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",120395,99002,14227,1216,596,0,2130,3224,175,3049,"Morgan County, Alabama",0,1291,868,824,254,184,1221,1051,147,1040
