GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,SBME001,SBME002,SBME003,SBME004,SBME005,SBME006,SBME007,SBME008,SBME009,SBME010,NAME_M,SBMM001,SBMM002,SBMM003,SBMM004,SBMM005,SBMM006,SBMM007,SBMM008,SBMM009,SBMM010
"G0100030","2013","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",195540,169831,20100,570,1341,0,1513,2185,754,1431,"Baldwin County, Alabama",0,1499,1250,441,829,192,1482,1460,836,1120
"G0100150","2013","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",116736,87777,24658,88,1207,0,1226,1780,78,1702,"Calhoun County, Alabama",0,1038,653,124,192,192,1031,553,99,521
"G0100430","2013","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,
"G0100490","2013","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71013,64764,1546,1303,117,0,1225,2058,1016,1042,"DeKalb County, Alabama",0,1796,148,957,200,192,1255,1492,1179,757
"G0100510","2013","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80902,61393,17372,326,746,0,457,608,0,608,"Elmore County, Alabama",0,525,578,270,131,192,494,560,192,560
"G0100550","2013","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",103931,84585,16426,799,699,71,226,1125,309,816,"Etowah County, Alabama",0,723,265,611,245,128,339,593,327,462
"G0100690","2013","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",103668,71726,27512,697,981,0,687,2065,114,1951,"Houston County, Alabama",0,549,640,342,143,192,443,634,93,641
"G0100730","2013","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659479,348515,278125,2072,9070,12,12350,9335,533,8802,"Jefferson County, Alabama",0,2704,2137,706,1250,20,2931,2865,367,2832
"G0100770","2013","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92797,80383,9387,341,862,46,562,1216,228,988,"Lauderdale County, Alabama",0,429,606,284,192,87,578,627,229,541
"G0100810","2013","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",150933,104152,35703,61,4857,0,4520,1640,0,1640,"Lee County, Alabama",0,1424,724,143,538,192,1810,856,192,856
