GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AAA6E001,AAA6E002,AAA6E003,AAA6E004,AAA6E005,AAA6E006,AAA6E007,AAA6E008,AAA6E009,AAA6E010,NAME_M,AAA6M001,AAA6M002,AAA6M003,AAA6M004,AAA6M005,AAA6M006,AAA6M007,AAA6M008,AAA6M009,AAA6M010
"G0100030","2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",200111,173137,19588,1621,639,0,1305,3821,1918,1903,"Baldwin County, Alabama",0,1565,603,1100,898,189,1316,1147,1342,910
"G0100150","2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",,,,,,,,,,,"Calhoun County, Alabama",,,,,,,,,,
"G0100430","2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,
"G0100490","2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71065,59354,896,1126,416,0,7892,1381,63,1318,"DeKalb County, Alabama",0,1526,657,519,321,189,1553,876,82,876
"G0100510","2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",80977,60220,18242,219,64,0,1122,1110,166,944,"Elmore County, Alabama",0,507,601,158,90,189,642,565,261,494
"G0100550","2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",103531,83905,16122,338,686,55,757,1668,0,1668,"Etowah County, Alabama",0,892,475,297,389,88,809,637,189,637
"G0100690","2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104193,72551,28680,221,573,0,598,1570,125,1445,"Houston County, Alabama",0,438,331,171,182,189,303,336,74,309
"G0100730","2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",660793,346240,277340,2147,10715,284,14420,9647,542,9105,"Jefferson County, Alabama",0,2366,2834,737,770,347,3353,2096,446,2010
"G0100770","2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",93096,80893,8534,188,635,0,36,2810,137,2673,"Lauderdale County, Alabama",0,213,808,192,253,189,62,869,179,831
"G0100810","2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",154255,109240,35876,134,5159,0,1127,2719,65,2654,"Lee County, Alabama",0,1050,1232,147,420,189,1019,1292,107,1291
"G0100830","2014","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",90787,74349,12992,416,294,0,815,1921,0,1921,"Limestone County, Alabama",0,795,1223,430,315,189,762,1052,189,1052
"G0100890","2014","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",350299,240157,82298,1526,8709,341,4160,13108,446,12662,"Madison County, Alabama",0,1668,2691,698,805,298,1604,2895,460,2777
"G0100950","2014","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",94636,85782,2294,275,449,0,4269,1567,110,1457,"Marshall County, Alabama",0,1759,270,194,195,189,1770,384,144,367
"G0100970","2014","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",415123,245445,146554,2343,8596,47,5566,6572,291,6281,"Mobile County, Alabama",0,1847,1931,765,608,77,2034,2134,283,2187
"G0101010","2014","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226189,86949,128175,359,5887,58,1664,3097,484,2613,"Montgomery County, Alabama",0,1250,1195,270,766,95,899,1105,471,1032
"G0101030","2014","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",119607,99508,15715,1700,415,0,1102,1167,266,901,"Morgan County, Alabama",0,1222,614,348,456,189,1169,637,294,582
"G0101150","2014","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",86697,75006,8616,92,527,0,1407,1049,69,980,"St. Clair County, Alabama",0,734,836,161,383,189,733,962,116,947
"G0101170","2014","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",206655,165564,24599,48,4162,0,8381,3901,211,3690,"Shelby County, Alabama",0,1672,1020,92,670,189,1828,1029,253,1011
"G0101210","2014","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",81322,52540,26504,338,110,0,641,1189,0,1189,"Talladega County, Alabama",0,533,1014,327,124,189,527,1008,189,1008
"G0101250","2014","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",202212,132385,62601,325,3055,0,1704,2142,0,2142,"Tuscaloosa County, Alabama",0,1548,740,220,480,189,1507,779,189,779
"G0101270","2014","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,
"G0200200","2014","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",301010,194958,17041,21093,27805,6629,5122,28362,1727,26635,"Anchorage Municipality, Alaska",0,2661,2011,2372,1667,623,2006,4067,1128,4023
"G0200900","2014","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",99357,75321,4564,5386,2497,588,1338,9663,200,9463,"Fairbanks North Star Borough, Alaska",0,1143,1183,1650,918,875,1027,2332,286,2250
"G0201700","2014","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",97882,81634,714,4883,1774,181,576,8120,89,8031,"Matanuska-Susitna Borough, Alaska",0,689,392,764,356,143,577,954,66,953
"G0400010","2014","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",71828,16135,839,51844,350,0,861,1799,356,1443,"Apache County, Arizona",0,687,200,341,78,200,586,660,388,723
"G0400030","2014","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",127448,106504,4774,1562,2552,61,4925,7070,1702,5368,"Cochise County, Arizona",0,2576,1150,532,738,98,1644,1746,929,1583
"G0400050","2014","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",137682,88024,2159,36043,3038,106,4399,3913,971,2942,"Coconino County, Arizona",0,1907,482,979,355,173,1726,1487,736,1248
"G0400130","2014","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4087191,3228764,209043,76490,162396,9032,268149,133317,26944,106373,"Maricopa County, Arizona",0,18455,5071,3987,3917,1092,17786,8718,4790,7819
"G0400150","2014","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",203361,183875,2462,5709,2462,8,5315,3530,919,2611,"Mohave County, Arizona",0,2827,769,480,684,15,2552,1286,757,998
"G0400170","2014","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",108101,52249,895,48675,706,62,2658,2856,412,2444,"Navajo County, Arizona",0,1363,476,1388,262,101,1006,980,284,992
"G0400190","2014","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1004516,777131,34178,32490,26807,1901,88436,43573,13394,30179,"Pima County, Arizona",0,7683,2396,2034,1813,493,6724,4300,2648,3584
"G0400210","2014","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",401918,325699,18514,20752,7979,1448,13377,14149,1503,12646,"Pinal County, Arizona",0,4517,1220,3043,1348,481,3528,3272,885,3262
"G0400250","2014","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",218844,199264,1241,3310,2265,6,7740,5018,78,4940,"Yavapai County, Arizona",0,2228,429,1042,418,10,2291,1377,137,1350
"G0400270","2014","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",203247,159621,4723,1765,2407,13,29050,5668,1253,4415,"Yuma County, Arizona",0,4674,891,428,726,24,4442,1533,661,1358
"G0500070","2014","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",242321,214453,4058,3780,8304,961,4492,6273,652,5621,"Benton County, Arkansas",0,1638,608,828,585,190,1432,1422,548,1210
"G0500310","2014","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",102518,83798,13400,600,1120,668,421,2511,113,2398,"Craighead County, Arkansas",0,999,1655,906,201,1126,348,1320,220,1278
"G0500450","2014","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",120768,100899,14111,604,1334,0,1356,2464,0,2464,"Faulkner County, Arkansas",0,686,451,464,232,190,709,769,190,769
"G0500510","2014","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",97322,83623,8226,269,788,45,2182,2189,30,2159,"Garland County, Arkansas",0,1507,908,328,790,97,1510,744,41,738
"G0500690","2014","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",72297,30360,40731,30,710,0,126,340,0,340,"Jefferson County, Arkansas",0,154,303,52,190,190,130,286,190,286
"G0500850","2014","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",71557,64581,4407,206,224,0,255,1884,162,1722,"Lonoke County, Arkansas",0,374,344,212,147,190,314,494,191,403
"G0501190","2014","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",392702,231534,140048,627,7911,57,2681,9844,844,9000,"Pulaski County, Arkansas",0,1782,1708,503,992,96,1600,2033,561,1957
"G0501250","2014","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",,,,,,,,,,,"Saline County, Arkansas",,,,,,,,,,
"G0501310","2014","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",126776,103046,9238,1569,5437,0,2470,5016,860,4156,"Sebastian County, Arkansas",0,1354,566,686,583,190,1046,1394,742,1214
"G0501430","2014","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",220792,177302,6388,2384,5473,4593,16734,7918,855,7063,"Washington County, Arkansas",0,4172,1376,774,743,1634,4283,2473,775,2337
"G0501450","2014","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",78592,71044,3463,0,490,152,1633,1810,122,1688,"White County, Arkansas",0,697,824,190,355,224,702,717,186,698
"G0600010","2014","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",1610921,713395,184981,10794,451957,13287,139619,96888,18679,78209,"Alameda County, California",0,9785,2937,2071,5092,1061,9711,7599,3031,6904
"G0600070","2014","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",224241,183737,3568,4523,9265,305,8709,14134,1040,13094,"Butte County, California",0,3126,631,2896,1240,216,2103,2250,674,2068
"G0600130","2014","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",1111339,659797,94162,5167,172954,5901,99499,73859,11161,62698,"Contra Costa County, California",0,9899,3572,1601,4206,1223,8831,6948,2713,6161
"G0600170","2014","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",183087,160533,1466,1542,7846,283,4919,6498,663,5835,"El Dorado County, California",0,2290,679,738,894,396,1977,1218,499,1134
"G0600190","2014","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",965974,584595,49881,8453,96158,2461,188131,36295,8009,28286,"Fresno County, California",0,11959,2609,2054,2496,953,12131,4915,1910,4349
"G0600230","2014","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",134809,107854,2150,7376,3351,67,5565,8446,322,8124,"Humboldt County, California",0,1848,743,1770,682,115,1910,1355,201,1374
"G0600250","2014","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",179091,120726,3993,3238,2744,244,39264,8882,4540,4342,"Imperial County, California",0,6649,1181,1701,365,282,5980,2827,1875,2028
"G0600290","2014","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",874589,664002,46940,10342,40765,925,77317,34298,8757,25541,"Kern County, California",0,9492,3009,3361,2224,409,8496,4948,2673,4010
"G0600310","2014","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",150269,93965,9578,2676,5293,382,31201,7174,1302,5872,"Kings County, California",0,4692,1076,714,540,308,4088,2089,1102,1847
"G0600330","2014","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",64184,50076,1483,2774,590,0,7572,1689,175,1514,"Lake County, California",0,1369,315,594,497,200,1509,855,226,853
"G0600370","2014","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",10116705,5313124,830371,63594,1449469,28601,2031385,400161,112231,287930,"Los Angeles County, California",0,35205,6634,7150,6419,1740,34181,14240,7458,12348
"G0600390","2014","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",154548,123679,5401,1384,3908,202,13358,6616,3901,2715,"Madera County, California",0,4643,795,797,612,214,3753,2493,2249,676
"G0600410","2014","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",260750,207308,5536,434,15868,292,20189,11123,1151,9972,"Marin County, California",0,4209,1052,436,962,194,4529,2234,741,2120
"G0600450","2014","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",87869,73918,623,4098,1666,137,4421,3006,247,2759,"Mendocino County, California",0,2142,335,631,369,229,2184,920,421,793
"G0600470","2014","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",266353,161624,9044,914,19573,310,64124,10764,4697,6067,"Merced County, California",0,7104,521,453,1516,222,7171,2254,1773,1572
"G0600530","2014","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",431344,333058,11311,3950,25836,1886,38838,16465,4099,12366,"Monterey County, California",0,8224,1111,1307,1534,422,8159,2394,1595,1712
"G0600550","2014","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",141667,102370,3310,681,11739,47,18181,5339,1738,3601,"Napa County, California",0,3180,362,523,696,81,3071,1675,1296,865
"G0600570","2014","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",98893,91442,191,802,1380,240,1347,3491,460,3031,"Nevada County, California",0,1354,157,341,324,322,962,649,441,492
"G0600590","2014","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",3145515,1982736,51390,14080,599768,8933,362455,126153,23309,102844,"Orange County, California",0,19654,3215,2285,8769,1347,20666,10912,3453,9990
"G0600610","2014","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",371694,312926,5902,2342,26796,1455,9241,13032,1931,11101,"Placer County, California",0,3109,772,979,1488,502,2749,1880,924,1677
"G0600650","2014","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",2329271,1475692,145374,21276,147907,5570,434413,99039,24882,74157,"Riverside County, California",0,19867,4469,4420,3885,1256,20630,7608,4535,5654
