GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AGXGE001,AGXGE002,AGXGE003,AGXGE004,AGXGE005,AGXGE006,AGXGE007,AGXGE008,AGXGE009,AGXGE010,NAME_M,AGXGM001,AGXGM002,AGXGM003,AGXGM004,AGXGM005,AGXGM006,AGXGM007,AGXGM008,AGXGM009,AGXGM010
"G0100030","2017","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",212628,183893,20030,2172,2485,0,1899,2149,308,1841,"Baldwin County, Alabama",0,2066,752,617,592,200,1956,1215,493,1246
"G0100150","2017","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",114728,85146,24183,254,1176,0,2108,1861,0,1861,"Calhoun County, Alabama",0,887,693,227,336,200,933,709,200,709
"G0100430","2017","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",82755,78414,1076,0,414,0,543,2308,678,1630,"Cullman County, Alabama",0,858,379,200,414,200,397,752,606,549
"G0100490","2017","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71617,61603,1109,762,0,0,5879,2264,513,1751,"DeKalb County, Alabama",0,2551,275,572,200,200,2562,1131,816,638
"G0100510","2017","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81677,60736,18092,304,400,0,1407,738,0,738,"Elmore County, Alabama",0,1081,789,228,410,200,1099,648,200,648
"G0100550","2017","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102755,82298,16066,1018,727,0,1199,1447,72,1375,"Etowah County, Alabama",0,865,643,591,318,200,918,791,95,786
"G0100690","2017","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104346,72703,27957,125,851,0,176,2534,378,2156,"Houston County, Alabama",0,239,476,108,186,200,122,541,214,479
"G0100730","2017","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659197,340995,283700,1203,12201,321,11510,9267,1742,7525,"Jefferson County, Alabama",0,2799,2337,595,756,465,2935,2119,1186,1741
"G0100770","2017","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,,,,,,,,,"Lauderdale County, Alabama",,,,,,,,,,
"G0100810","2017","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",161604,113361,35563,212,6452,0,502,5514,385,5129,"Lee County, Alabama",0,1026,1876,246,633,200,513,2204,410,2176
"G0100830","2017","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",94402,76611,12971,901,1677,149,1167,926,0,926,"Limestone County, Alabama",0,1548,331,216,337,285,1482,529,200,529
"G0100890","2017","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",361046,244908,87843,2357,10285,0,4498,11155,835,10320,"Madison County, Alabama",0,1914,2158,718,909,200,1887,2443,520,2456
"G0100950","2017","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",95548,88908,2140,670,687,149,1244,1750,368,1382,"Marshall County, Alabama",0,1369,564,387,104,196,1287,841,520,638
"G0100970","2017","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",413955,244012,147234,3410,7504,79,5038,6678,239,6439,"Mobile County, Alabama",0,1558,1630,805,1365,127,2120,1694,311,1649
"G0101010","2017","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",226646,82146,131468,311,6747,51,2034,3889,676,3213,"Montgomery County, Alabama",0,981,1397,466,536,100,964,1300,520,1189
"G0101030","2017","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",118818,95425,15143,678,760,283,4294,2235,50,2185,"Morgan County, Alabama",0,1894,672,561,331,471,1861,800,96,807
"G0101150","2017","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,
"G0101170","2017","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",213605,171245,26651,571,3167,69,6240,5662,808,4854,"Shelby County, Alabama",0,1965,1624,286,805,123,2066,1648,775,1298
"G0101210","2017","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",80065,50624,26648,250,162,0,1328,1053,129,924,"Talladega County, Alabama",0,723,599,264,193,200,712,534,148,505
"G0101250","2017","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",207811,132278,66928,755,3522,115,1768,2445,631,1814,"Tuscaloosa County, Alabama",0,2618,574,909,341,137,2406,1092,957,543
"G0101270","2017","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",64058,57806,3831,328,353,0,549,1191,0,1191,"Walker County, Alabama",0,441,601,312,113,200,557,596,200,596
"G0200200","2017","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",294356,182307,14810,22906,31646,7791,7077,27819,1618,26201,"Anchorage Municipality, Alaska",0,2690,1511,4057,2025,477,1855,4431,1027,4262
"G0200900","2017","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",99703,75282,4541,7512,2964,126,1084,8194,307,7887,"Fairbanks North Star Borough, Alaska",0,1299,699,1550,730,177,750,1997,328,1921
"G0201700","2017","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",106532,88189,1540,6605,1522,206,328,8142,155,7987,"Matanuska-Susitna Borough, Alaska",0,434,391,1101,417,218,223,1247,143,1273
"G0400010","2017","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,,,,,,,,,"Apache County, Arizona",,,,,,,,,,
"G0400030","2017","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",124756,107676,5042,1981,2258,473,3191,4135,1290,2845,"Cochise County, Arizona",0,1744,824,234,531,208,1358,1318,782,950
"G0400050","2017","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",140776,92468,1731,36364,3259,633,1235,5086,244,4842,"Coconino County, Arizona",0,1323,547,1490,298,459,678,1838,259,1819
"G0400130","2017","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",4307033,3342292,235421,87049,179761,10317,291906,160287,30806,129481,"Maricopa County, Arizona",0,21160,5951,4622,4524,1102,19110,9182,5298,8746
"G0400150","2017","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",207200,186157,2473,4806,2525,141,6030,5068,787,4281,"Mohave County, Arizona",0,2859,529,1105,437,177,2620,1437,640,1210
"G0400170","2017","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",108956,51477,1291,46635,638,1811,4424,2680,364,2316,"Navajo County, Arizona",0,1492,592,1905,204,1653,1644,960,343,891
"G0400190","2017","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",1022769,779589,35898,42875,29936,1639,80937,51895,15238,36657,"Pima County, Arizona",0,9156,2014,4440,2145,557,7856,5212,3281,4752
"G0400210","2017","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",430237,351332,17748,19642,7007,1160,12515,20833,3479,17354,"Pinal County, Arizona",0,4014,2052,3800,854,816,3425,4526,1720,4070
"G0400250","2017","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",228168,211172,1314,2698,2814,0,4182,5988,146,5842,"Yavapai County, Arizona",0,2373,374,814,435,208,1973,1415,147,1412
"G0400270","2017","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",207534,168078,4767,3939,2718,125,22100,5807,1820,3987,"Yuma County, Arizona",0,4829,1006,1390,452,161,4354,1722,1304,1167
"G0500070","2017","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",266300,233638,5199,4850,10703,1486,4080,6344,1191,5153,"Benton County, Arkansas",0,1788,448,1039,821,201,1442,1280,649,1164
"G0500310","2017","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",107115,84250,13657,148,1533,37,2495,4995,262,4733,"Craighead County, Arkansas",0,1061,1674,143,80,66,1116,1746,262,1723
"G0500450","2017","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",123654,100013,15116,210,1830,0,3458,3027,677,2350,"Faulkner County, Arkansas",0,2272,846,424,243,201,2368,1253,638,1130
