GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AIUXE001,AIUXE002,AIUXE003,AIUXE004,AIUXE005,AIUXE006,AIUXE007,AIUXE008,AIUXE009,AIUXE010,NAME_M,AIUXM001,AIUXM002,AIUXM003,AIUXM004,AIUXM005,AIUXM006,AIUXM007,AIUXM008,AIUXM009,AIUXM010
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",218022,187759,20554,1276,2338,45,2586,3464,177,3287,"Baldwin County, Alabama",0,1764,446,702,533,86,1957,1078,193,1032
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",114277,85046,24737,107,426,0,1182,2779,842,1937,"Calhoun County, Alabama",0,1148,642,138,363,201,1239,793,601,594
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",83442,78643,906,301,166,0,1367,2059,335,1724,"Cullman County, Alabama",0,1169,335,403,173,201,1105,806,528,511
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",71385,60157,1335,868,173,0,7583,1269,0,1269,"DeKalb County, Alabama",0,1938,201,614,241,201,1943,541,201,541
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",81887,60622,17113,345,522,0,1339,1946,56,1890,"Elmore County, Alabama",0,957,1682,292,393,201,897,1401,93,1388
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",102501,81129,17474,209,862,0,1094,1733,249,1484,"Etowah County, Alabama",0,718,1256,261,154,201,769,875,393,803
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",104722,72687,29214,66,700,0,113,1942,151,1791,"Houston County, Alabama",0,205,471,49,235,201,90,505,151,497
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",659300,341227,282596,1786,9564,724,10729,12674,2167,10507,"Jefferson County, Alabama",0,3031,2292,825,2144,603,3084,3268,1612,2768
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",92387,80452,9614,89,667,133,283,1149,73,1076,"Lauderdale County, Alabama",0,286,234,124,138,135,251,284,150,243
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",163941,115009,38323,453,6950,0,582,2624,286,2338,"Lee County, Alabama",0,1420,1324,341,630,201,572,1102,473,968
