GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,ANLTE001,ANLTE002,ANLTE003,ANLTE004,ANLTE005,ANLTE006,ANLTE007,ANLTE008,ANLTE009,ANLTE010,NAME_M,ANLTM001,ANLTM002,ANLTM003,ANLTM004,ANLTM005,ANLTM006,ANLTM007,ANLTM008,ANLTM009,ANLTM010
"G0100030","2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",239294,198355,21305,884,1956,0,4735,12059,6485,5574,"Baldwin County, Alabama",,2359,962,717,1017,216,2574,2890,2401,1588
"G0100150","2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",115972,82072,22470,1307,983,0,2712,6428,2215,4213,"Calhoun County, Alabama",,1014,2355,1087,343,216,1303,2262,799,2056
"G0100430","2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",89496,81885,1098,426,509,33,2687,2858,1464,1394,"Cullman County, Alabama",,562,632,433,500,62,994,1052,955,588
"G0100490","2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",71813,58855,1160,1822,71,10,5998,3897,1622,2275,"DeKalb County, Alabama",,2214,384,1318,141,21,2295,1208,1231,449
"G0100510","2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",89304,66105,19046,167,88,0,338,3560,1095,2465,"Elmore County, Alabama",,874,1891,187,121,216,440,2017,632,1877
"G0100550","2021","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",103162,79421,14722,123,357,0,2935,5604,1312,4292,"Etowah County, Alabama",,819,2204,144,377,216,1181,2442,833,2242
"G0100690","2021","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",107458,69907,29485,157,1143,44,1433,5289,2101,3188,"Houston County, Alabama",,617,729,188,214,72,627,889,641,611
"G0100730","2021","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",667820,326427,287023,956,11694,334,16667,24719,11477,13242,"Jefferson County, Alabama",,2223,3677,488,822,294,3446,3850,2788,2990
"G0100770","2021","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",94043,79120,6698,1228,212,59,900,5826,1933,3893,"Lauderdale County, Alabama",,635,1223,692,326,101,810,1607,1144,1304
"G0100810","2021","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",177218,120083,38469,84,7811,0,2008,8763,3594,5169,"Lee County, Alabama",,1014,1816,114,412,216,1146,2413,1688,1933
"G0100830","2021","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"0500000US01083","01083","Limestone County, Alabama",107517,81606,9993,1016,2039,400,2101,10362,3058,7304,"Limestone County, Alabama",,1597,2876,851,391,610,1815,2727,2090,2298
"G0100890","2021","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"0500000US01089","01089","Madison County, Alabama",395211,256152,92590,1962,7782,373,4933,31419,10383,21036,"Madison County, Alabama",,2609,2915,858,1757,390,1988,4578,2146,3899
"G0100950","2021","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"0500000US01095","01095","Marshall County, Alabama",98228,80600,2955,2406,760,0,5727,5780,4156,1624,"Marshall County, Alabama",,2040,456,2767,55,216,2726,1909,1881,446
"G0100970","2021","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"0500000US01097","01097","Mobile County, Alabama",413073,231092,149022,1541,9163,0,7924,14331,4279,10052,"Mobile County, Alabama",,1597,2298,716,685,216,1846,3334,1519,2707
"G0101010","2021","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"0500000US01101","01101","Montgomery County, Alabama",227434,72578,135092,118,8117,0,3288,8241,3990,4251,"Montgomery County, Alabama",,1758,1553,95,241,216,1478,2335,1893,1393
"G0101030","2021","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"0500000US01103","01103","Morgan County, Alabama",123668,91851,15678,294,130,300,6671,8744,3977,4767,"Morgan County, Alabama",,1033,1373,241,127,507,2183,2429,2113,1608
"G0101150","2021","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"0500000US01115","01115","St. Clair County, Alabama",,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,
"G0101170","2021","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"0500000US01117","01117","Shelby County, Alabama",226902,173863,25172,1592,4925,0,5517,15833,5614,10219,"Shelby County, Alabama",,3309,2466,1424,640,216,1716,3645,2194,2649
"G0101210","2021","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"0500000US01121","01121","Talladega County, Alabama",81524,50663,24736,0,178,0,1380,4567,716,3851,"Talladega County, Alabama",,326,1634,216,188,216,569,1704,583,1623
"G0101250","2021","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"0500000US01125","01125","Tuscaloosa County, Alabama",227007,137185,73215,168,3288,0,2430,10721,5521,5200,"Tuscaloosa County, Alabama",,1426,1443,206,692,216,1310,2448,2002,1663
"G0200200","2021","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"0500000US02020","02020","Anchorage Municipality, Alaska",288121,164330,14744,19194,27525,9011,10260,43057,8546,34511,"Anchorage Municipality, Alaska",,2092,1876,2699,2164,827,2520,4358,1996,4077
"G0200900","2021","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"0500000US02090","02090","Fairbanks North Star Borough, Alaska",95593,66204,3913,5318,3101,339,2051,14667,4927,9740,"Fairbanks North Star Borough, Alaska",,1400,1056,1455,724,522,1167,2310,1527,1863
"G0201700","2021","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"0500000US02170","02170","Matanuska-Susitna Borough, Alaska",110686,84657,1088,6778,2252,530,2655,12726,3757,8969,"Matanuska-Susitna Borough, Alaska",,1429,275,1120,447,158,680,1844,1310,1277
"G0400010","2021","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"0500000US04001","04001","Apache County, Arizona",65623,12538,1304,46556,629,156,1461,2979,2067,912,"Apache County, Arizona",,623,1075,1239,914,173,846,849,653,353
"G0400030","2021","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"0500000US04003","04003","Cochise County, Arizona",126050,78225,4095,1477,1944,46,9301,30962,23800,7162,"Cochise County, Arizona",,3956,986,815,589,81,2478,3977,3662,1175
"G0400050","2021","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"0500000US04005","04005","Coconino County, Arizona",145052,78570,2009,37699,2717,288,10824,12945,6776,6169,"Coconino County, Arizona",,1766,433,1480,576,337,2251,2530,2095,1684
"G0400130","2021","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"0500000US04013","04013","Maricopa County, Arizona",4496588,2609581,250533,84315,193923,9317,438600,910319,716720,193599,"Maricopa County, Arizona",,19690,7962,8151,5863,1474,24225,23907,21132,11370
"G0400150","2021","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"0500000US04015","04015","Mohave County, Arizona",217692,173380,2796,3006,2439,427,12502,23142,15234,7908,"Mohave County, Arizona",,2653,610,1397,694,549,3797,3368,2946,1705
"G0400170","2021","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"0500000US04017","04017","Navajo County, Arizona",108147,48776,892,45345,552,0,2445,10137,5627,4510,"Navajo County, Arizona",,1266,513,1644,590,224,790,2287,1479,1600
"G0400190","2021","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"0500000US04019","04019","Pima County, Arizona",1052030,610936,37818,31173,29332,318,124478,217975,165897,52078,"Pima County, Arizona",,9644,3288,3406,2299,365,9702,10945,10782,5482
"G0400210","2021","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"0500000US04021","04021","Pinal County, Arizona",449557,281911,21977,22787,7353,1551,38357,75621,53056,22565,"Pinal County, Arizona",,7236,2102,3955,1284,378,6772,7867,7819,3893
"G0400250","2021","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"0500000US04025","04025","Yavapai County, Arizona",242253,193771,1321,1621,2802,136,12492,30110,21179,8931,"Yavapai County, Arizona",,2898,888,657,937,218,3625,4099,3952,1581
"G0400270","2021","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"0500000US04027","04027","Yuma County, Arizona",206990,70263,3155,3599,2509,32,31338,96094,90741,5353,"Yuma County, Arizona",,3500,1005,2087,451,67,5342,6847,6668,1473
"G0500070","2021","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"0500000US05007","05007","Benton County, Arkansas",293692,178300,5643,3462,11600,2208,11561,80918,68022,12896,"Benton County, Arkansas",,7013,962,1091,1490,213,3064,7717,7612,2076
"G0500310","2021","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"0500000US05031","05031","Craighead County, Arkansas",112218,82591,17479,1051,861,0,3314,6922,3399,3523,"Craighead County, Arkansas",,1885,1741,684,493,213,1724,2779,2375,1626
"G0500450","2021","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"0500000US05045","05045","Faulkner County, Arkansas",125106,99863,14440,396,876,0,2612,6919,2214,4705,"Faulkner County, Arkansas",,1323,1237,316,751,213,1351,1709,1003,1409
