GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MF9E001,MF9E002,MF9E003,MF9E004,MF9E005,MF9E006,MF9E007,MF9E008,MF9E009,MF9E010,MF9E011,MF9E012,MF9E013,MF9E014,MF9E015,MF9E016,MF9E017,MF9E018,MF9E019,MF9E020,MF9E021,MF9E022,MF9E023,MF9E024,NAME_M,MF9M001,MF9M002,MF9M003,MF9M004,MF9M005,MF9M006,MF9M007,MF9M008,MF9M009,MF9M010,MF9M011,MF9M012,MF9M013,MF9M014,MF9M015,MF9M016,MF9M017,MF9M018,MF9M019,MF9M020,MF9M021,MF9M022,MF9M023,MF9M024
"G0100030","2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",20213,19217,579,178,646,35,405,246,65,1403,358,1082,2265,1306,1806,1516,277,1492,1360,2836,661,500,201,996,"Baldwin County, Alabama",3140,3042,533,237,774,58,410,221,113,1035,333,799,1237,1097,743,1014,255,1017,750,1109,559,450,167,490
"G0100150","2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14023,12615,517,461,463,283,454,1145,2492,1516,1501,865,1077,799,107,33,328,149,52,112,0,261,0,1408,"Calhoun County, Alabama",1733,1707,256,358,348,180,340,443,767,620,651,462,563,631,91,59,308,151,74,118,190,426,190,621
"G0100430","2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",8012,6418,7,371,86,720,392,468,907,1302,389,479,137,273,47,441,0,174,0,79,21,0,125,1594,"Cullman County, Alabama",1370,1402,13,353,85,502,293,316,550,663,275,305,137,257,58,464,190,205,190,132,37,190,204,538
"G0100490","2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",10866,9860,768,388,375,362,505,1243,1307,802,1249,506,718,511,708,137,0,210,0,71,0,0,0,1006,"Etowah County, Alabama",1616,1531,369,299,283,210,423,543,706,509,554,288,531,342,520,170,190,302,190,112,190,190,190,514
"G0100690","2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13250,12166,301,515,280,318,862,1316,1080,1111,1149,848,950,682,920,401,743,247,221,124,10,53,35,1084,"Houston County, Alabama",904,881,117,214,139,126,273,305,308,303,290,235,268,206,283,186,380,129,90,92,18,51,22,279
"G0100730","2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",91306,84566,2554,1188,2685,3008,3067,4155,4587,5117,6551,6180,8109,5770,6976,3742,3856,6243,3357,3982,1325,916,1198,6740,"Jefferson County, Alabama",4452,4410,728,501,767,846,890,1146,1134,1138,1087,1440,1599,1624,1535,1188,1415,1566,1059,1301,586,410,579,1222
"G0100770","2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",11244,10327,416,261,568,203,1017,1653,1513,1549,629,378,473,663,339,0,34,351,175,0,0,0,105,917,"Lauderdale County, Alabama",1582,1454,263,268,393,171,451,641,723,609,405,238,294,552,477,190,57,309,252,190,190,190,175,537
"G0100810","2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",22107,20559,189,101,320,407,317,595,1711,2417,3081,971,980,2087,788,860,393,1816,587,1258,1222,340,119,1548,"Lee County, Alabama",2006,2018,129,125,269,297,228,384,856,1024,1060,568,576,997,500,513,376,820,322,599,766,237,139,705
"G0100830","2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",41284,38465,548,564,775,772,513,1690,3218,3346,4291,2878,2375,3077,2698,2318,1699,3295,1492,1502,358,113,943,2819,"Madison County, Alabama",2699,2511,314,296,468,361,326,715,921,857,1306,796,759,876,885,827,590,965,694,707,227,89,475,800
"G0100950","2011","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",8614,7897,230,426,127,130,738,761,1309,520,656,1012,783,518,131,0,34,198,238,86,0,0,0,717,"Marshall County, Alabama",1227,1172,112,236,69,101,374,345,514,329,384,495,475,386,95,190,30,166,265,143,190,190,190,352
"G0100970","2011","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",51019,46730,1782,1006,1642,2027,2096,1331,2254,2917,3380,4654,4854,3786,4357,2061,1677,2829,1689,1452,77,390,469,4289,"Mobile County, Alabama",3206,3182,599,480,641,714,650,597,829,969,892,1297,1081,1128,1101,768,693,894,662,605,92,265,369,912
"G0101010","2011","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",32717,30671,904,643,508,555,531,483,1710,3410,3489,3598,2469,1641,2037,1543,2027,1850,957,1238,153,669,256,2046,"Montgomery County, Alabama",2965,2719,562,650,360,281,249,332,614,1231,1189,1340,799,899,864,699,1010,799,641,625,144,535,299,689
"G0101030","2011","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",12064,10795,332,377,632,275,508,880,1846,1673,1321,617,455,478,658,168,253,112,133,77,0,0,0,1269,"Morgan County, Alabama",1392,1336,219,293,420,194,299,640,869,690,736,296,386,373,375,151,248,163,160,126,190,190,190,561
"G0101150","2011","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2011","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",14930,13294,0,57,0,188,71,0,71,698,878,701,1190,242,1454,1388,1020,1681,729,1505,754,667,0,1636,"Shelby County, Alabama",1967,1822,190,99,190,196,139,190,100,411,520,427,662,232,713,721,644,658,384,715,617,508,190,632
"G0101210","2011","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",11055,9155,955,361,367,664,1398,781,1281,378,496,706,568,744,332,63,61,0,0,0,0,0,0,1900,"Talladega County, Alabama",1788,1611,594,238,211,419,840,461,560,265,351,759,470,606,307,104,107,190,190,190,190,190,190,644
"G0101250","2011","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",23393,21963,730,324,36,220,486,944,1198,1722,2516,1991,1805,1284,2903,1393,503,1506,820,896,264,45,377,1430,"Tuscaloosa County, Alabama",2204,2091,370,244,62,150,311,447,489,566,859,785,779,509,877,744,368,659,557,511,249,80,200,642
"G0101270","2011","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2011","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",43342,41368,115,0,212,218,472,858,886,742,367,469,865,758,1185,1823,1370,4912,6920,8121,4137,5610,1328,1974,"Anchorage Municipality, Alaska",2554,2646,133,149,283,260,293,575,537,534,290,337,539,431,592,794,612,1164,1616,1529,1127,1235,527,695
"G0200900","2011","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",15519,14662,0,0,68,113,68,0,485,382,431,621,282,205,280,1223,852,540,1288,2124,2201,2939,560,857,"Fairbanks North Star Borough, Alaska",2313,2164,149,149,107,199,117,149,404,422,422,500,253,191,265,674,544,368,568,813,1022,950,325,540
"G0201700","2011","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",8341,7671,0,56,33,45,51,69,241,0,55,162,475,522,261,517,324,881,1045,1598,456,794,86,670,"Matanuska-Susitna Borough, Alaska",1346,1291,149,89,28,65,48,69,258,149,68,161,285,394,265,299,204,509,625,763,292,664,122,320
"G0400010","2011","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",4669,4015,387,621,70,272,72,612,133,338,312,613,47,28,0,85,87,115,89,134,0,0,0,654,"Apache County, Arizona",588,638,169,390,55,192,61,277,120,290,222,408,54,45,229,143,89,170,119,132,229,229,229,306
"G0400030","2011","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",14251,13319,99,46,189,419,528,472,1272,706,1431,853,497,760,303,996,1121,1330,431,860,515,285,206,932,"Cochise County, Arizona",2023,1999,124,75,156,355,432,357,820,386,735,539,378,458,390,708,691,606,249,582,526,261,186,363
"G0400050","2011","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",17304,15914,289,117,80,282,361,94,243,160,989,403,1037,1464,730,1073,737,2949,1382,2385,393,746,0,1390,"Coconino County, Arizona",1888,1757,265,129,85,200,399,96,228,127,484,285,556,794,425,600,471,1029,708,718,327,500,229,594
"G0400130","2011","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",540572,519326,2266,2218,2803,3846,2572,6622,10532,20014,24729,35890,32712,42757,34283,36229,32311,63548,48643,67395,22887,16511,10558,21246,"Maricopa County, Arizona",12253,12109,844,817,1089,1251,1107,1375,2139,2782,2985,3659,3104,3918,3461,4078,3551,4966,5479,5585,3360,3142,2408,3176
"G0400150","2011","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",24348,21941,84,27,253,409,693,314,2702,1332,1299,2073,1254,1682,2000,1562,1676,1885,958,1275,51,259,153,2407,"Mohave County, Arizona",3377,3158,71,47,269,409,521,272,1455,816,633,1037,620,791,1021,793,768,915,739,913,69,302,255,997
"G0400170","2011","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",9868,8848,622,774,324,894,459,127,141,683,1157,460,275,501,459,377,266,952,157,47,136,0,37,1020,"Navajo County, Arizona",1553,1579,391,446,269,655,295,155,145,447,593,429,270,390,429,358,312,509,208,84,172,229,66,377
"G0400190","2011","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",146571,138860,864,707,1394,1535,3090,2515,5175,8710,10538,11997,11072,12279,8834,9798,6138,11886,10278,14180,3450,1877,2543,7711,"Pima County, Arizona",4912,4789,440,467,454,672,1260,953,1227,1625,1821,1984,1805,1950,1463,1960,1346,1925,1876,2291,1233,668,914,1640
"G0400210","2011","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",31497,28964,56,172,76,424,436,349,1168,1523,1442,1409,1614,2285,817,2041,1646,6260,2681,3142,1048,375,0,2533,"Pinal County, Arizona",4272,4105,101,207,131,348,627,281,1097,795,798,954,947,1271,525,1012,1031,1957,1655,1231,905,484,229,1040
"G0400250","2011","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",27174,24608,0,0,293,65,509,819,1286,902,676,3733,1708,2766,1843,2439,1951,1821,1024,1935,228,610,0,2566,"Yavapai County, Arizona",3535,3232,229,229,317,84,356,554,680,595,641,1371,909,1515,1045,1406,1007,1036,605,906,241,739,229,1458
"G0400270","2011","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",20481,18966,327,212,217,692,583,524,1171,664,928,1796,1240,828,835,1518,1244,2180,1439,2019,322,183,44,1515,"Yuma County, Arizona",2958,2718,319,144,184,490,465,357,669,400,555,844,903,535,495,808,882,1050,1170,812,505,169,69,782
"G0500070","2011","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",28255,25949,44,293,45,175,0,1082,1504,2585,3148,2158,2277,2806,2081,1887,1395,1563,441,486,165,211,1603,2306,"Benton County, Arkansas",2644,2588,69,252,62,268,192,552,833,851,1233,1021,978,1177,787,1022,789,848,524,423,201,335,929,1014
"G0500310","2011","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",15885,15158,454,88,133,368,365,761,1012,2250,1844,1362,1916,1791,742,527,348,611,179,149,0,258,0,727,"Craighead County, Arkansas",1885,1864,633,85,120,517,315,367,663,1231,696,783,849,933,499,467,296,488,211,245,192,257,192,356
"G0500450","2011","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",15628,15351,0,141,182,333,995,401,929,1594,2043,839,1723,1539,666,303,813,1913,652,162,0,123,0,277,"Faulkner County, Arkansas",1734,1738,192,131,181,256,659,375,816,774,768,489,744,692,415,292,598,820,478,244,192,141,192,194
"G0500510","2011","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",11803,10321,115,0,333,473,343,175,1046,1321,480,1535,296,1312,1161,939,115,348,0,151,36,38,104,1482,"Garland County, Arkansas",1550,1515,197,192,409,318,300,190,690,660,319,808,226,667,686,635,140,302,192,205,59,66,125,667
"G0500690","2011","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",10010,9223,355,375,349,617,468,811,1177,1328,767,922,897,590,293,231,13,30,0,0,0,0,0,787,"Jefferson County, Arkansas",1362,1296,271,315,318,356,349,453,474,500,383,346,504,399,258,226,24,51,192,192,192,192,192,429
