GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PF8E001,PF8E002,PF8E003,PF8E004,PF8E005,PF8E006,PF8E007,PF8E008,PF8E009,PF8E010,PF8E011,PF8E012,PF8E013,PF8E014,PF8E015,PF8E016,PF8E017,PF8E018,PF8E019,PF8E020,PF8E021,PF8E022,PF8E023,PF8E024,NAME_M,PF8M001,PF8M002,PF8M003,PF8M004,PF8M005,PF8M006,PF8M007,PF8M008,PF8M009,PF8M010,PF8M011,PF8M012,PF8M013,PF8M014,PF8M015,PF8M016,PF8M017,PF8M018,PF8M019,PF8M020,PF8M021,PF8M022,PF8M023,PF8M024
"G0100030","2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",25481,23245,238,36,861,289,12,161,302,979,615,1374,2238,1342,2760,2164,1482,3073,1110,2913,325,186,785,2236,"Baldwin County, Alabama",2797,2929,278,67,592,309,23,195,244,577,503,922,981,595,959,1134,819,1450,658,1205,242,132,360,964
"G0100150","2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14531,13282,598,61,352,426,724,1390,1279,1763,1263,580,2765,799,94,239,215,412,82,205,0,0,35,1249,"Calhoun County, Alabama",1681,1623,330,74,338,334,438,611,541,656,529,328,878,465,146,243,259,303,132,262,184,184,55,556
"G0100430","2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",7658,6205,301,386,365,522,296,655,833,663,648,363,506,285,208,9,0,16,0,0,0,98,51,1453,"Cullman County, Alabama",1220,1123,189,332,222,444,201,427,424,368,456,266,369,274,219,16,184,31,184,184,184,117,86,577
"G0100490","2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",6071,4526,450,141,173,71,244,896,1089,186,292,494,122,193,0,128,0,0,0,0,0,0,47,1545,"DeKalb County, Alabama",1094,965,342,135,180,65,206,458,480,169,338,451,109,182,184,202,184,184,184,184,184,184,81,632
"G0100510","2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",12899,11239,445,708,459,607,639,1380,1436,1294,1113,880,254,1080,269,49,143,75,113,242,0,0,53,1660,"Etowah County, Alabama",1565,1490,351,364,315,338,462,585,519,562,511,475,183,676,240,79,164,126,134,249,184,184,89,700
"G0100690","2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13521,12424,294,285,493,410,555,1173,914,1040,1012,1084,1121,828,969,692,523,293,322,114,10,241,51,1097,"Houston County, Alabama",832,856,131,138,154,159,157,447,199,248,254,285,282,279,220,275,337,147,143,80,17,276,31,230
"G0100730","2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",92707,86282,3324,2340,1686,3254,2477,2669,3822,5395,4493,8198,6938,7910,6465,4146,5706,4842,3259,4697,2229,1163,1269,6425,"Jefferson County, Alabama",3573,3570,797,706,712,793,734,821,989,1183,994,1407,1367,1446,1251,929,1286,1315,1102,1181,864,549,547,1258
"G0100770","2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",11588,10045,187,47,232,574,775,1971,1326,1877,996,618,519,415,133,145,0,59,114,57,0,0,0,1543,"Lauderdale County, Alabama",1305,1214,108,54,217,311,428,631,637,688,502,310,368,358,181,185,184,78,194,92,184,184,184,573
"G0100810","2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",20988,19144,580,178,149,441,514,520,1453,1064,698,1610,1604,1226,1673,1056,1000,1220,1215,1557,801,483,102,1844,"Lee County, Alabama",2043,1999,369,179,154,382,487,273,692,494,370,694,675,602,690,613,559,648,547,728,452,405,119,611
"G0100830","2012","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",8004,6935,7,364,270,188,183,460,1103,989,543,507,572,428,145,189,279,50,243,281,0,65,69,1069,"Limestone County, Alabama",1388,1300,13,284,214,170,283,331,586,492,389,429,337,273,159,212,325,84,231,319,184,110,117,605
"G0100890","2012","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",42157,40077,511,847,335,562,439,2496,2296,3030,2659,3783,4296,3299,2616,1844,1551,3562,2103,1652,695,788,713,2080,"Madison County, Alabama",2803,2823,315,402,219,395,253,915,931,918,711,978,1108,814,862,872,701,958,915,596,387,452,440,656
