GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,S5EE001,S5EE002,S5EE003,S5EE004,S5EE005,S5EE006,S5EE007,S5EE008,S5EE009,S5EE010,S5EE011,S5EE012,S5EE013,S5EE014,S5EE015,S5EE016,S5EE017,S5EE018,S5EE019,S5EE020,S5EE021,S5EE022,S5EE023,S5EE024,NAME_M,S5EM001,S5EM002,S5EM003,S5EM004,S5EM005,S5EM006,S5EM007,S5EM008,S5EM009,S5EM010,S5EM011,S5EM012,S5EM013,S5EM014,S5EM015,S5EM016,S5EM017,S5EM018,S5EM019,S5EM020,S5EM021,S5EM022,S5EM023,S5EM024
"G0100030","2013","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",21418,19107,206,185,336,426,682,414,509,459,770,1080,2967,642,2116,676,1613,1957,818,1936,327,775,213,2311,"Baldwin County, Alabama",2422,2298,236,202,362,384,602,457,422,434,579,458,1654,452,937,372,831,888,448,1039,375,464,150,802
"G0100150","2013","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14437,12216,438,500,242,316,261,1248,1684,2544,1540,1314,443,378,515,746,0,0,0,47,0,0,0,2221,"Calhoun County, Alabama",2035,1806,346,405,235,268,175,459,710,882,618,784,357,374,483,424,192,192,192,82,192,192,192,687
"G0100430","2013","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2013","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2013","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2013","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",11224,9811,157,378,530,281,511,1409,1289,807,1272,884,1336,346,254,41,39,111,57,62,0,0,47,1413,"Etowah County, Alabama",1451,1414,158,333,492,184,398,604,600,376,657,515,657,272,246,72,61,129,93,76,192,192,83,484
"G0100690","2013","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",14964,13581,192,512,395,564,692,842,1138,1272,1379,1068,1312,1116,873,379,566,516,252,209,198,95,11,1383,"Houston County, Alabama",750,784,122,156,142,259,286,299,327,361,343,265,273,280,204,145,242,198,163,90,208,91,17,313
"G0100730","2013","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",97009,90187,3231,2966,1910,2960,2320,3099,4120,4606,5814,7823,6605,6858,5627,5340,5778,5657,4808,5061,2029,1962,1613,6822,"Jefferson County, Alabama",3582,3361,897,796,734,794,745,841,894,999,1323,1526,1327,1544,1345,1288,1466,1319,1255,1082,665,896,722,1338
"G0100770","2013","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",12974,11484,781,393,447,789,443,1213,1397,1707,1088,850,912,404,456,44,170,59,188,143,0,0,0,1490,"Lauderdale County, Alabama",1620,1610,401,321,405,563,431,553,556,814,545,485,690,271,425,73,137,86,240,190,192,192,192,578
"G0100810","2013","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",23962,22504,602,197,623,325,365,666,1377,1575,1792,1879,1414,1300,1957,1171,1232,2199,1834,1194,531,0,271,1458,"Lee County, Alabama",1956,1991,433,238,616,286,362,533,718,707,859,831,601,695,1068,846,909,895,895,571,309,192,408,718
"G0100830","2013","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",7732,7037,271,500,202,324,308,162,1164,1310,852,700,246,404,71,299,0,0,0,180,44,0,0,695,"Limestone County, Alabama",1327,1280,285,636,209,262,212,187,878,679,484,498,207,362,88,277,192,192,192,175,73,192,192,576
"G0100890","2013","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",46371,43897,674,682,346,902,859,1857,2281,2696,2733,4757,3403,4499,3276,2384,2077,2898,2103,3049,754,625,1042,2474,"Madison County, Alabama",2898,2860,373,407,302,472,356,868,864,815,721,1432,949,1177,846,903,726,1051,967,1010,385,507,629,791
"G0100950","2013","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",9215,8136,298,227,260,480,342,996,969,1130,652,1055,564,260,262,88,362,93,31,14,0,20,33,1079,"Marshall County, Alabama",1073,976,214,171,189,163,233,394,535,543,374,557,508,185,263,99,372,71,33,17,192,33,48,477
"G0100970","2013","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",49940,46537,1443,1038,1328,1358,907,2107,1981,2504,2795,4715,4318,4684,3694,3577,3047,2914,1646,1413,425,202,441,3403,"Mobile County, Alabama",3389,3359,666,524,491,586,433,910,681,948,802,1279,1244,1239,1098,991,1038,816,784,666,378,328,307,859
"G0101010","2013","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",35870,34008,928,278,1011,992,934,1200,892,1884,2683,2720,3839,2410,2911,1850,1554,3546,1417,1940,287,474,258,1862,"Montgomery County, Alabama",2452,2346,486,169,626,487,344,583,498,798,896,798,1055,722,997,941,823,1079,730,860,197,307,408,759
