GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA3AE001,AA3AE002,AA3AE003,AA3AE004,AA3AE005,AA3AE006,AA3AE007,AA3AE008,AA3AE009,AA3AE010,AA3AE011,AA3AE012,AA3AE013,AA3AE014,AA3AE015,AA3AE016,AA3AE017,AA3AE018,AA3AE019,AA3AE020,AA3AE021,AA3AE022,AA3AE023,AA3AE024,NAME_M,AA3AM001,AA3AM002,AA3AM003,AA3AM004,AA3AM005,AA3AM006,AA3AM007,AA3AM008,AA3AM009,AA3AM010,AA3AM011,AA3AM012,AA3AM013,AA3AM014,AA3AM015,AA3AM016,AA3AM017,AA3AM018,AA3AM019,AA3AM020,AA3AM021,AA3AM022,AA3AM023,AA3AM024
"G0100030","2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",19650,16941,115,203,128,498,144,885,855,579,1501,951,1500,1167,935,575,650,1928,2233,831,597,262,404,2709,"Baldwin County, Alabama",2717,2566,147,198,177,467,181,744,695,505,947,516,838,610,643,345,387,904,1151,391,399,272,380,1107
"G0100150","2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14375,12329,933,525,395,364,441,1013,1204,2298,794,1584,473,1120,232,453,79,157,179,34,0,0,51,2046,"Calhoun County, Alabama",1756,1851,582,339,304,308,356,552,512,838,466,720,336,675,242,349,93,163,226,58,189,189,83,805
"G0100430","2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",7754,6605,4,432,204,375,388,924,485,879,914,624,178,345,0,433,109,54,106,151,0,0,0,1149,"Cullman County, Alabama",1405,1287,9,335,215,266,270,506,455,533,572,424,202,290,189,385,182,88,143,228,189,189,189,585
"G0100490","2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",12636,10190,230,236,243,687,511,1007,1111,1046,775,1158,803,1057,690,0,279,0,90,15,156,0,96,2446,"Etowah County, Alabama",1548,1421,193,174,173,398,362,569,522,454,383,601,363,583,588,189,239,189,111,27,237,189,158,832
"G0100690","2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13433,12359,457,306,277,403,591,598,1279,1081,987,828,980,1248,678,618,388,893,247,336,39,73,52,1074,"Houston County, Alabama",886,850,161,146,125,176,196,191,326,264,222,232,330,439,190,330,155,248,130,187,32,61,54,292
"G0100730","2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",100657,93486,2583,2100,1624,3089,2522,3748,4575,5332,4399,7687,6708,6780,7495,7309,5929,5796,5823,5813,1797,1478,899,7171,"Jefferson County, Alabama",3833,3842,753,854,639,891,768,1028,1170,1146,961,1300,1260,1454,1640,1739,1373,1264,1492,1308,810,662,448,1372
"G0100770","2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",12165,10221,513,211,230,316,541,617,1302,1492,1725,923,565,251,610,76,90,337,118,228,76,0,0,1944,"Lauderdale County, Alabama",1353,1288,303,148,269,210,412,320,549,538,847,557,394,229,333,133,132,236,131,356,129,189,189,626
"G0100810","2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24322,23026,233,330,372,0,757,688,1681,1717,2546,1647,1863,991,1638,1678,1559,1516,1772,913,448,647,30,1296,"Lee County, Alabama",2379,2443,242,314,307,189,494,462,729,750,1010,771,833,607,607,745,711,774,801,597,369,472,48,788
