GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADC4E001,ADC4E002,ADC4E003,ADC4E004,ADC4E005,ADC4E006,ADC4E007,ADC4E008,ADC4E009,ADC4E010,ADC4E011,ADC4E012,ADC4E013,ADC4E014,ADC4E015,ADC4E016,ADC4E017,ADC4E018,ADC4E019,ADC4E020,ADC4E021,ADC4E022,ADC4E023,ADC4E024,ADC4E025,ADC4E026,ADC4E027,NAME_M,ADC4M001,ADC4M002,ADC4M003,ADC4M004,ADC4M005,ADC4M006,ADC4M007,ADC4M008,ADC4M009,ADC4M010,ADC4M011,ADC4M012,ADC4M013,ADC4M014,ADC4M015,ADC4M016,ADC4M017,ADC4M018,ADC4M019,ADC4M020,ADC4M021,ADC4M022,ADC4M023,ADC4M024,ADC4M025,ADC4M026,ADC4M027
"G0100030","2015","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",19037,16626,168,324,55,94,1003,155,30,357,1791,986,169,858,1618,1240,1556,2129,703,1991,638,236,57,44,104,320,2411,"Baldwin County, Alabama",2594,2356,203,348,95,138,1112,198,28,313,742,518,176,599,818,879,974,898,460,655,487,247,97,70,169,501,868
"G0100150","2015","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",13570,12666,422,99,133,188,741,1071,862,1392,1548,1234,1011,1009,1043,327,34,701,188,541,0,122,0,0,0,0,904,"Calhoun County, Alabama",1835,1679,214,124,142,220,449,507,499,506,582,539,527,632,605,254,58,402,182,460,192,194,192,192,192,192,450
"G0100430","2015","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2015","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2015","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2015","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",10031,8569,209,245,262,343,469,457,963,926,1082,1049,621,430,524,317,110,413,43,85,0,0,21,0,0,0,1462,"Etowah County, Alabama",1250,1134,166,193,208,204,196,208,593,374,488,489,349,291,401,289,135,358,75,125,192,192,38,192,192,192,702
"G0100690","2015","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",14010,12916,354,467,167,257,629,668,1065,1188,1272,995,1103,857,884,562,585,942,535,250,80,16,9,0,11,20,1094,"Houston County, Alabama",840,815,179,162,103,113,245,187,263,231,274,285,279,244,302,208,252,382,339,143,82,20,15,192,17,25,316
"G0100730","2015","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",101153,94848,2678,3092,3286,3367,2434,2882,4084,4761,4068,7847,7062,6770,6411,6000,5961,8812,5266,4324,2770,1648,603,291,431,0,6305,"Jefferson County, Alabama",4782,4742,820,1240,906,888,767,842,1012,1266,1018,1399,1348,1629,1563,1318,1454,1679,1155,1238,1014,690,311,236,472,192,1027
"G0100770","2015","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100810","2015","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24402,23372,977,265,312,367,221,254,1959,680,1681,1849,2428,1621,1377,1327,595,2222,1248,2374,916,567,65,67,0,0,1030,"Lee County, Alabama",2803,2803,502,293,229,371,167,238,886,340,668,923,1280,742,692,617,529,910,670,1352,642,480,111,106,192,192,572
"G0100830","2015","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2015","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",47278,43923,921,642,698,938,1050,902,2012,3698,2516,3653,3275,3494,3215,3229,2680,3090,3443,3266,289,547,108,29,67,161,3355,"Madison County, Alabama",3145,3095,457,404,501,486,520,462,821,1358,991,1196,1024,1158,1056,1051,819,1089,1144,1267,184,418,93,49,113,152,858
"G0100950","2015","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",9085,8067,137,486,370,494,256,295,1095,1019,997,978,428,239,572,72,373,201,42,0,0,13,0,0,0,0,1018,"Marshall County, Alabama",1249,1218,75,307,219,538,165,142,577,504,476,468,221,194,379,54,404,209,27,192,192,23,192,192,192,192,471
"G0100970","2015","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",52910,49517,1537,924,1293,1177,1696,1349,2022,2014,3440,3654,4611,4365,4686,4649,2379,3348,2885,2521,382,354,108,46,0,77,3393,"Mobile County, Alabama",2678,2553,510,431,682,512,543,593,762,569,1165,1010,1172,1270,1115,1223,843,895,880,776,360,304,178,37,192,89,818
"G0101010","2015","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",38782,36310,629,305,460,1112,210,675,1397,1464,3022,2709,3838,2715,4096,2571,2217,2928,2287,1252,589,648,435,295,242,214,2472,"Montgomery County, Alabama",2865,2792,394,263,324,597,137,362,695,630,1120,975,1133,1096,1326,1127,818,1037,880,477,284,393,339,473,169,241,811
"G0101030","2015","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",13360,12472,235,276,37,512,728,996,785,2576,2029,1086,810,601,625,215,208,310,38,36,0,299,70,0,0,0,888,"Morgan County, Alabama",1690,1661,348,314,62,409,482,663,446,861,906,587,474,534,411,197,204,355,66,61,192,260,114,192,192,192,518
"G0101150","2015","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2015","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",16013,14388,56,181,157,155,244,693,127,364,514,483,487,1424,1219,1176,930,1986,1449,1569,384,495,135,0,0,160,1625,"Shelby County, Alabama",1667,1550,64,268,255,145,211,385,101,261,388,324,322,769,571,495,460,698,842,596,269,421,181,192,192,133,688
