GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFUEE001,AFUEE002,AFUEE003,AFUEE004,AFUEE005,AFUEE006,AFUEE007,AFUEE008,AFUEE009,AFUEE010,AFUEE011,AFUEE012,AFUEE013,AFUEE014,AFUEE015,AFUEE016,AFUEE017,AFUEE018,AFUEE019,AFUEE020,AFUEE021,AFUEE022,AFUEE023,AFUEE024,AFUEE025,AFUEE026,AFUEE027,NAME_M,AFUEM001,AFUEM002,AFUEM003,AFUEM004,AFUEM005,AFUEM006,AFUEM007,AFUEM008,AFUEM009,AFUEM010,AFUEM011,AFUEM012,AFUEM013,AFUEM014,AFUEM015,AFUEM016,AFUEM017,AFUEM018,AFUEM019,AFUEM020,AFUEM021,AFUEM022,AFUEM023,AFUEM024,AFUEM025,AFUEM026,AFUEM027
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",20635,17612,22,839,0,181,219,411,745,793,958,540,898,554,987,677,520,3271,1807,1766,972,806,370,0,276,0,3023,"Baldwin County, Alabama",2761,2446,36,798,195,211,196,340,544,480,693,501,495,525,512,443,394,1320,775,624,743,439,305,195,227,195,1509
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",14651,13347,290,0,237,702,245,937,1878,1664,2038,1172,1140,544,457,331,1169,0,0,355,50,138,0,0,0,0,1304,"Calhoun County, Alabama",1883,1764,211,195,171,429,195,412,793,827,770,737,520,416,404,217,776,195,195,336,92,135,195,195,195,195,517
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",8488,7635,346,156,0,84,38,313,76,227,421,1191,632,785,657,423,361,564,220,821,320,0,0,0,0,0,853,"Elmore County, Alabama",1395,1282,497,255,195,145,63,266,125,220,365,676,557,608,580,398,327,351,186,506,275,195,195,195,195,195,530
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",11000,10426,325,247,384,880,516,692,1076,1459,1456,988,379,469,492,239,567,32,44,0,0,0,0,181,0,0,574,"Etowah County, Alabama",1537,1531,328,245,289,490,400,463,476,798,719,522,335,229,373,253,363,74,75,195,195,195,195,160,195,195,289
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13928,13106,424,348,365,226,608,633,1005,1290,887,1178,974,987,798,680,893,696,432,277,267,112,0,0,11,15,822,"Houston County, Alabama",833,828,149,146,175,110,236,205,299,286,247,296,249,271,204,207,350,322,199,127,264,95,195,195,18,24,285
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",97460,89867,2762,2013,1725,2549,3968,2336,3213,4205,3544,5929,6864,7312,6216,5909,5837,7488,5982,6417,3036,1396,532,212,154,268,7593,"Jefferson County, Alabama",4200,3867,955,656,663,746,1053,789,1031,1114,1080,1307,1590,1674,1577,1367,1380,1605,1351,1394,886,623,369,225,146,289,1448
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",11431,9373,281,106,148,646,714,404,978,1198,1554,847,511,776,321,553,124,7,205,0,0,0,0,0,0,0,2058,"Lauderdale County, Alabama",1397,1370,353,107,134,426,462,258,508,617,634,500,412,451,281,521,173,13,245,195,195,195,195,195,195,195,726
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",24634,22559,279,245,485,519,199,547,801,1786,745,2445,1954,1763,1327,482,2024,2490,559,2234,998,320,357,0,0,0,2075,"Lee County, Alabama",2393,2310,280,230,425,429,198,458,500,769,478,1343,866,845,838,353,1060,895,324,872,653,291,523,195,195,195,673
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",8848,7545,54,195,202,542,415,831,576,723,624,824,796,473,291,97,159,71,167,301,204,0,0,0,0,0,1303,"Limestone County, Alabama",1324,1152,91,183,192,569,362,605,479,490,382,433,438,362,210,120,131,113,236,312,273,195,195,195,195,195,660
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",45761,43025,580,762,122,952,376,536,2115,3026,2991,3098,2786,3439,4637,3519,2272,5501,2394,2222,597,1037,39,0,24,0,2736,"Madison County, Alabama",2906,2931,388,395,153,555,206,284,640,894,1151,811,953,1367,1195,1179,827,1422,996,683,346,681,66,195,39,195,784
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",11352,9710,172,238,372,122,636,812,273,2242,425,1332,703,1198,31,911,14,102,24,32,66,5,0,0,0,0,1642,"Marshall County, Alabama",1539,1542,111,149,306,80,524,417,274,1046,188,691,480,670,26,806,17,93,32,35,110,10,195,195,195,195,803
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",54119,50471,1724,1257,713,978,1200,1931,1488,3104,2201,5583,4548,4786,3638,3278,1705,4825,2932,3010,983,587,0,0,0,0,3648,"Mobile County, Alabama",3167,2991,650,515,317,568,609,803,580,972,792,1521,1011,1274,1049,1000,704,1195,851,970,654,294,195,195,195,195,1055
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",37800,36132,877,339,285,640,356,1568,635,2099,1501,3224,3623,4330,3343,2309,2620,3072,2000,2409,303,479,19,0,101,0,1668,"Montgomery County, Alabama",2858,2786,663,277,236,282,292,600,353,934,704,1137,1012,1453,1547,879,1064,1073,657,800,195,340,33,195,94,195,530
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",10455,9618,391,0,157,590,458,534,499,1636,1256,1030,851,229,112,378,576,321,76,443,0,58,0,0,0,23,837,"Morgan County, Alabama",1432,1434,502,195,149,424,371,452,292,575,705,623,496,254,136,258,473,242,128,252,195,98,195,195,195,40,426
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",15417,15000,120,79,225,503,0,411,0,648,193,439,187,1097,658,1600,1278,1761,1407,2148,1643,537,0,0,66,0,417,"Shelby County, Alabama",1950,1968,104,99,239,391,195,351,195,420,150,386,152,801,455,845,665,669,644,696,511,419,195,195,110,195,299
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Talladega County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",28453,25681,407,525,631,298,331,888,762,1173,901,2290,2451,4069,1840,1035,1419,1499,1143,2142,639,402,751,0,42,43,2772,"Tuscaloosa County, Alabama",2381,2288,303,379,431,321,310,519,399,765,503,935,811,1404,642,689,724,683,533,750,481,403,448,195,50,51,1170
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",40929,39946,162,88,127,53,189,481,143,364,575,552,280,213,163,808,1007,3464,4714,8485,6407,7500,3352,515,260,44,983,"Anchorage Municipality, Alaska",3066,3143,175,129,195,93,191,487,140,256,371,393,263,182,212,503,591,1109,1078,1547,1467,1446,990,293,182,72,456
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",12721,11555,56,0,0,23,0,0,288,213,32,656,336,366,267,197,323,1158,496,1809,1484,2434,1120,145,152,0,1166,"Fairbanks North Star Borough, Alaska",1553,1585,94,155,155,39,155,155,374,181,54,515,251,345,324,198,299,684,328,764,595,898,455,139,125,155,534
