GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHPKE001,AHPKE002,AHPKE003,AHPKE004,AHPKE005,AHPKE006,AHPKE007,AHPKE008,AHPKE009,AHPKE010,AHPKE011,AHPKE012,AHPKE013,AHPKE014,AHPKE015,AHPKE016,AHPKE017,AHPKE018,AHPKE019,AHPKE020,AHPKE021,AHPKE022,AHPKE023,AHPKE024,AHPKE025,AHPKE026,AHPKE027,NAME_M,AHPKM001,AHPKM002,AHPKM003,AHPKM004,AHPKM005,AHPKM006,AHPKM007,AHPKM008,AHPKM009,AHPKM010,AHPKM011,AHPKM012,AHPKM013,AHPKM014,AHPKM015,AHPKM016,AHPKM017,AHPKM018,AHPKM019,AHPKM020,AHPKM021,AHPKM022,AHPKM023,AHPKM024,AHPKM025,AHPKM026,AHPKM027
"G0100030","2017","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",20559,17912,267,229,166,163,225,811,944,883,744,719,472,397,931,1027,1401,2650,1779,1917,1142,772,110,95,68,0,2647,"Baldwin County, Alabama",2740,2682,360,224,198,164,333,639,550,629,601,592,352,416,656,811,704,1181,819,865,786,485,130,158,115,200,949
"G0100150","2017","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",13414,11262,238,227,183,678,757,443,855,1392,1617,1283,915,621,484,266,315,375,236,227,0,150,0,0,0,0,2152,"Calhoun County, Alabama",1638,1503,192,205,187,393,380,304,516,650,607,679,513,319,376,249,277,355,249,264,200,199,200,200,200,200,808
"G0100430","2017","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2017","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2017","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2017","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",10587,8830,618,290,339,435,140,874,340,1219,596,1042,519,536,464,154,157,532,74,501,0,0,0,0,0,0,1757,"Etowah County, Alabama",1454,1326,431,200,220,477,131,517,257,603,363,517,394,368,428,127,203,401,122,492,200,200,200,200,200,200,718
"G0100690","2017","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13027,12103,337,252,372,311,377,631,1014,955,904,875,1372,1029,982,736,521,585,264,497,0,27,0,8,35,19,924,"Houston County, Alabama",862,829,148,160,175,133,143,215,223,234,279,251,293,234,251,239,155,215,127,230,200,25,200,15,24,16,259
"G0100730","2017","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",100498,95494,2039,3197,2442,2670,2605,3555,2990,4225,4938,5271,7424,6597,6037,4960,4722,8732,6525,9019,3660,2537,595,469,56,229,5004,"Jefferson County, Alabama",4649,4441,781,846,834,732,831,1228,951,943,1379,1209,1839,1248,1231,1366,1333,1475,1689,2107,955,959,337,315,95,196,1186
"G0100770","2017","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100810","2017","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",21345,20448,659,457,44,0,538,351,1263,1319,1345,1838,903,1046,1455,1561,816,1454,1314,1976,1155,720,145,89,0,0,897,"Lee County, Alabama",2154,2205,506,479,73,200,431,282,696,581,706,940,509,608,702,999,476,693,620,778,636,504,257,139,200,200,433
"G0100830","2017","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2017","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",51314,48512,97,226,579,1383,309,935,1596,2770,4094,3779,4144,3872,3369,2468,3133,4393,4406,4389,1979,523,0,0,68,0,2802,"Madison County, Alabama",3327,3239,108,277,424,739,212,469,746,944,1153,1151,1203,1253,1041,803,1028,1486,1515,1271,840,394,200,200,112,200,946
"G0100950","2017","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",10437,9293,676,129,115,469,330,638,974,1783,1031,422,343,649,500,144,391,364,204,44,87,0,0,0,0,0,1144,"Marshall County, Alabama",1345,1379,450,75,85,405,284,569,420,829,615,245,197,516,365,120,326,236,208,55,148,200,200,200,200,200,566
"G0100970","2017","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",55282,50020,1633,1626,867,1205,1257,1182,1831,1972,2340,3501,4506,4636,3992,3101,4326,4536,3045,3339,698,373,54,0,0,0,5262,"Mobile County, Alabama",2787,2686,788,636,496,540,592,572,702,767,820,953,1143,1033,1130,844,1150,1180,1090,1041,410,173,63,200,200,200,1236
"G0101010","2017","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",37266,35835,153,873,1009,767,410,1173,763,1249,2049,3483,3441,3999,2885,2322,2174,2295,1921,2421,1255,457,229,0,507,0,1431,"Montgomery County, Alabama",2558,2523,181,504,507,556,377,736,417,613,994,1154,1148,1123,910,955,805,791,787,760,733,230,182,200,503,200,482
"G0101030","2017","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101150","2017","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"St. Clair County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0101170","2017","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",16809,15407,0,0,0,504,96,386,110,251,827,620,705,647,414,717,1951,2691,1770,1399,1469,695,0,88,67,0,1402,"Shelby County, Alabama",1911,1899,200,200,200,411,119,378,130,238,439,463,648,641,285,659,885,985,742,655,558,489,200,146,107,200,542
"G0101210","2017","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",10095,9250,1195,366,329,763,413,823,981,737,436,1246,426,622,125,277,45,229,0,237,0,0,0,0,0,0,845,"Talladega County, Alabama",1563,1542,512,327,354,629,346,715,552,459,369,642,418,441,213,239,77,326,200,357,200,200,200,200,200,200,451
"G0101250","2017","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",26821,24700,304,826,743,572,151,264,488,570,1947,1277,2369,3048,1538,1157,2030,2336,1879,1671,394,1048,39,0,24,25,2121,"Tuscaloosa County, Alabama",2162,2019,323,556,504,407,257,288,365,304,749,480,1116,1189,642,576,730,844,746,817,363,698,66,200,40,42,786
"G0101270","2017","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Walker County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0200200","2017","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",44547,43289,56,0,0,197,133,397,738,725,319,839,382,63,279,1395,1306,4267,4395,9371,5807,8372,3298,743,130,77,1258,"Anchorage Municipality, Alaska",2490,2504,97,153,153,285,157,292,624,486,322,616,288,93,203,640,875,1049,1275,2040,1385,1790,908,420,122,128,651
"G0200900","2017","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fairbanks North Star Borough, Alaska",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0201700","2017","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",6586,5770,0,9,10,49,52,254,76,135,59,253,14,146,198,327,419,449,558,1036,825,797,104,0,0,0,816,"Matanuska-Susitna Borough, Alaska",705,624,153,18,18,65,50,156,79,90,55,160,25,77,123,161,208,184,187,343,322,267,74,153,153,153,277
"G0400010","2017","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Apache County, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,
