GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AJM5E001,AJM5E002,AJM5E003,AJM5E004,AJM5E005,AJM5E006,AJM5E007,AJM5E008,AJM5E009,AJM5E010,AJM5E011,AJM5E012,AJM5E013,AJM5E014,AJM5E015,AJM5E016,AJM5E017,AJM5E018,AJM5E019,AJM5E020,AJM5E021,AJM5E022,AJM5E023,AJM5E024,AJM5E025,AJM5E026,AJM5E027,NAME_M,AJM5M001,AJM5M002,AJM5M003,AJM5M004,AJM5M005,AJM5M006,AJM5M007,AJM5M008,AJM5M009,AJM5M010,AJM5M011,AJM5M012,AJM5M013,AJM5M014,AJM5M015,AJM5M016,AJM5M017,AJM5M018,AJM5M019,AJM5M020,AJM5M021,AJM5M022,AJM5M023,AJM5M024,AJM5M025,AJM5M026,AJM5M027
"G0100030","2018","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",20491,17748,280,0,240,455,0,91,386,782,895,1321,329,486,423,1962,582,2074,1958,2352,1325,1280,432,95,0,0,2743,"Baldwin County, Alabama",2554,2581,314,201,281,417,201,134,285,509,754,793,237,393,347,1129,363,1220,801,1053,579,645,510,140,201,201,1119
"G0100150","2018","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",13228,11927,1012,444,0,489,444,229,417,1662,420,1227,586,1493,630,399,1112,431,265,559,108,0,0,0,0,0,1301,"Calhoun County, Alabama",1987,1808,737,328,201,435,335,145,305,907,271,569,370,633,457,398,713,466,327,405,173,201,201,201,201,201,595
"G0100430","2018","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",7563,6367,219,634,312,63,198,489,769,754,713,479,237,341,470,56,351,0,282,0,0,0,0,0,0,0,1196,"Cullman County, Alabama",1238,1228,219,474,301,98,171,375,443,488,520,396,217,262,444,74,229,201,318,201,201,201,201,201,201,201,668
"G0100490","2018","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2018","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2018","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",11242,9914,198,72,149,559,188,289,932,1511,1273,1455,773,427,307,291,482,194,285,269,0,260,0,0,0,0,1328,"Etowah County, Alabama",1721,1658,158,53,184,397,163,227,463,746,672,564,443,329,229,326,441,226,289,304,201,346,201,201,201,201,582
"G0100690","2018","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",12695,11557,191,336,118,248,378,383,819,1322,851,997,1383,964,1071,460,603,614,351,335,35,43,13,9,33,0,1138,"Houston County, Alabama",889,905,120,153,83,141,167,153,237,310,242,264,345,254,289,200,178,225,154,200,32,58,23,15,33,201,290
"G0100730","2018","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",94634,89470,1748,3291,436,1921,2290,2980,2780,4548,3501,4144,5518,7086,6048,5583,7581,8890,5384,7938,3303,2968,687,574,170,101,5164,"Jefferson County, Alabama",4090,4033,768,945,249,811,946,813,907,1123,1008,1119,1475,1722,1587,1584,1718,1644,1155,1326,980,1174,358,534,172,168,1233
"G0100770","2018","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",13154,12120,663,369,505,979,51,407,1526,2200,822,973,1597,468,645,17,224,168,93,367,0,46,0,0,0,0,1034,"Lauderdale County, Alabama",1465,1426,515,246,435,603,77,322,689,1023,465,528,630,333,458,41,280,152,152,473,201,79,201,201,201,201,508
"G0100810","2018","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",22838,22166,812,86,432,560,338,451,1814,1158,1321,1423,1515,1297,2795,816,694,1603,1307,2889,356,385,0,48,66,0,672,"Lee County, Alabama",2321,2222,588,139,461,549,317,475,914,661,730,900,755,843,1138,463,418,617,639,1146,288,275,201,83,111,201,313
"G0100830","2018","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100890","2018","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",53289,47678,922,751,572,556,394,1057,1441,2280,2143,2707,4069,3509,2932,4478,3612,5159,3884,4296,1498,899,0,0,258,261,5611,"Madison County, Alabama",3034,2959,407,508,490,343,206,717,627,1023,720,969,1583,1287,1063,1503,1133,1431,1369,1153,586,490,201,201,269,200,1728
"G0100950","2018","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",10478,9196,277,104,111,497,523,318,943,1105,518,1350,1081,411,730,344,348,332,48,156,0,0,0,0,0,0,1282,"Marshall County, Alabama",1449,1384,162,74,134,343,310,157,570,506,293,603,567,255,509,266,284,387,44,155,201,201,201,201,201,201,609
"G0100970","2018","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",63441,57783,1353,1558,1972,1845,1946,1960,1653,2363,2137,4564,3782,5699,4535,5299,2766,5477,2552,4037,1591,212,90,183,0,209,5658,"Mobile County, Alabama",3334,3118,665,643,798,816,1013,854,763,694,711,1145,1035,1381,1285,1265,841,1514,962,1134,989,176,151,166,201,271,1307
"G0101010","2018","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",38006,35691,524,217,658,368,760,580,628,1608,1804,3791,3230,3029,3067,2780,872,3905,3104,3121,976,623,10,36,0,0,2315,"Montgomery County, Alabama",2657,2756,460,226,327,269,494,361,417,662,781,1249,1090,869,1132,1126,591,1131,1047,953,384,281,16,60,201,201,907
"G0101030","2018","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",13193,11510,52,107,323,414,393,269,543,1401,1234,1397,1010,676,289,1020,702,587,415,179,0,225,72,0,0,202,1683,"Morgan County, Alabama",1632,1484,87,110,377,440,367,272,353,798,605,639,609,535,282,687,617,407,283,150,201,287,68,201,201,282,836
