GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALKVE001,ALKVE002,ALKVE003,ALKVE004,ALKVE005,ALKVE006,ALKVE007,ALKVE008,ALKVE009,ALKVE010,ALKVE011,ALKVE012,ALKVE013,ALKVE014,ALKVE015,ALKVE016,ALKVE017,ALKVE018,ALKVE019,ALKVE020,ALKVE021,ALKVE022,ALKVE023,ALKVE024,ALKVE025,ALKVE026,ALKVE027,NAME_M,ALKVM001,ALKVM002,ALKVM003,ALKVM004,ALKVM005,ALKVM006,ALKVM007,ALKVM008,ALKVM009,ALKVM010,ALKVM011,ALKVM012,ALKVM013,ALKVM014,ALKVM015,ALKVM016,ALKVM017,ALKVM018,ALKVM019,ALKVM020,ALKVM021,ALKVM022,ALKVM023,ALKVM024,ALKVM025,ALKVM026,ALKVM027
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",17028,14664,88,385,75,0,338,215,0,431,860,92,620,692,344,635,1814,759,1547,2418,1873,1396,82,0,0,0,2364,"Baldwin County, Alabama",2396,2238,155,619,130,206,353,222,206,409,785,150,439,523,323,480,1074,544,1098,1059,1012,753,102,206,206,206,1115
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",13157,12317,513,93,0,436,563,456,392,1087,1468,1979,1035,617,996,405,731,107,1174,201,0,64,0,0,0,0,840,"Calhoun County, Alabama",1796,1811,443,115,206,371,334,260,275,564,774,908,544,622,634,330,508,102,650,314,206,88,206,206,206,206,537
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",10877,9860,359,446,436,118,368,458,772,1538,1050,1308,625,619,613,611,46,203,52,0,129,109,0,0,0,0,1017,"Etowah County, Alabama",1688,1735,283,343,355,113,344,507,428,689,584,581,320,500,507,470,85,183,90,206,134,174,206,206,206,206,465
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",13954,12980,200,429,259,478,366,393,956,1330,1458,953,1086,969,1276,607,430,503,746,171,90,242,11,0,27,0,974,"Houston County, Alabama",903,920,143,217,125,253,187,194,323,387,461,331,294,316,312,246,231,201,257,106,119,320,17,206,28,206,318
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",103273,96025,1549,3392,939,2296,1833,3041,3429,4463,3519,6085,6824,7151,4530,6320,7542,8951,4777,10740,4770,2477,1001,24,75,297,7248,"Jefferson County, Alabama",3779,4005,904,1301,599,1094,886,1231,1249,1565,1308,1430,1575,1711,1345,1655,1989,1911,1400,1938,1345,650,559,39,93,415,1606
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",13817,12946,851,384,90,348,183,838,941,2358,2204,1039,932,515,554,662,320,94,239,369,8,17,0,0,0,0,871,"Lauderdale County, Alabama",1608,1587,555,280,74,330,216,557,473,963,850,543,705,557,320,465,369,129,333,276,13,30,206,206,206,206,428
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",21086,20360,346,95,0,899,345,180,990,1580,1661,1749,1019,1165,1410,1681,1743,1794,1702,838,622,360,0,100,0,81,726,"Lee County, Alabama",2444,2326,586,176,206,812,437,168,760,868,913,993,584,914,818,869,939,903,846,700,516,258,206,161,206,138,533
