GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,AMVRE001,AMVRE002,AMVRE003,AMVRE004,AMVRE005,AMVRE006,AMVRE007,AMVRE008,AMVRE009,AMVRE010,AMVRE011,AMVRE012,AMVRE013,AMVRE014,AMVRE015,AMVRE016,AMVRE017,AMVRE018,AMVRE019,AMVRE020,AMVRE021,AMVRE022,AMVRE023,AMVRE024,AMVRE025,AMVRE026,AMVRE027,NAME_M,AMVRM001,AMVRM002,AMVRM003,AMVRM004,AMVRM005,AMVRM006,AMVRM007,AMVRM008,AMVRM009,AMVRM010,AMVRM011,AMVRM012,AMVRM013,AMVRM014,AMVRM015,AMVRM016,AMVRM017,AMVRM018,AMVRM019,AMVRM020,AMVRM021,AMVRM022,AMVRM023,AMVRM024,AMVRM025,AMVRM026,AMVRM027
"G0100010","2016-2020","AL",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01001",,,"Autauga County, Alabama",5471,4770,42,121,34,54,56,345,101,241,59,203,244,151,130,311,84,780,299,561,402,365,10,33,0,144,701,"Autauga County, Alabama",537,524,36,83,42,42,45,225,65,128,35,134,109,86,93,178,58,269,125,188,186,176,19,50,29,95,190
"G0100030","2016-2020","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01003",,,"Baldwin County, Alabama",19331,17016,92,315,131,255,288,237,411,571,910,700,540,652,414,1337,889,1847,1692,2532,1682,1084,257,27,36,117,2315,"Baldwin County, Alabama",1187,1164,60,186,105,171,152,122,164,193,388,237,265,265,172,581,315,401,492,512,436,276,87,33,51,72,445
"G0100050","2016-2020","AL",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01005",,,"Barbour County, Alabama",3547,3198,254,319,112,205,99,358,246,285,217,377,337,85,82,64,105,9,18,13,0,0,13,0,0,0,349,"Barbour County, Alabama",331,310,109,136,63,82,58,131,84,113,76,126,142,58,73,52,103,13,17,17,23,23,21,23,23,23,139
"G0100070","2016-2020","AL",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01007",,,"Bibb County, Alabama",1831,1550,168,87,50,137,145,42,68,169,133,152,208,86,71,1,0,3,0,0,30,0,0,0,0,0,281,"Bibb County, Alabama",316,314,176,63,51,190,103,53,69,82,92,117,133,63,55,3,23,4,23,23,42,23,23,23,23,23,123
"G0100090","2016-2020","AL",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01009",,,"Blount County, Alabama",5073,3852,125,190,4,75,85,374,446,445,566,451,165,386,78,112,23,215,32,5,68,0,7,0,0,0,1221,"Blount County, Alabama",586,448,71,111,6,54,61,175,203,143,174,169,89,194,57,114,37,107,28,6,82,29,11,29,29,29,351
"G0100110","2016-2020","AL",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01011",,,"Bullock County, Alabama",898,757,144,45,45,109,34,36,20,55,56,132,13,21,0,9,0,0,0,0,38,0,0,0,0,0,141,"Bullock County, Alabama",212,208,141,45,66,85,48,44,24,73,51,116,25,31,19,15,19,19,19,19,56,19,19,19,19,19,55
"G0100130","2016-2020","AL",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01013",,,"Butler County, Alabama",1777,1392,74,95,45,105,25,197,162,268,39,112,46,108,0,24,41,16,18,17,0,0,0,0,0,0,385,"Butler County, Alabama",256,207,37,54,26,58,23,87,63,123,33,55,39,65,19,23,27,21,26,16,19,19,19,19,19,19,115
"G0100150","2016-2020","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01015",,,"Calhoun County, Alabama",13202,11756,330,213,96,448,467,437,860,1263,1364,1329,735,1157,668,360,651,472,406,259,125,109,7,0,0,0,1446,"Calhoun County, Alabama",699,630,126,132,57,143,162,139,222,340,276,281,215,335,281,133,205,162,186,120,97,73,11,29,29,29,287
"G0100170","2016-2020","AL",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01017",,,"Chambers County, Alabama",4449,3953,97,162,115,164,367,182,410,484,218,323,117,209,173,270,223,154,206,32,6,33,8,0,0,0,496,"Chambers County, Alabama",406,374,68,93,78,107,204,75,170,178,101,143,75,88,142,117,129,91,118,35,10,21,14,26,26,26,179
"G0100190","2016-2020","AL",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01019",,,"Cherokee County, Alabama",2359,1650,59,167,6,67,98,165,312,179,268,119,25,36,0,27,4,5,44,25,44,0,0,0,0,0,709,"Cherokee County, Alabama",356,265,62,103,9,50,63,97,131,76,155,87,23,38,23,43,6,7,43,28,47,23,23,23,23,23,210
"G0100210","2016-2020","AL",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01021",,,"Chilton County, Alabama",4262,3523,0,175,211,80,148,466,260,316,196,466,228,116,200,118,116,233,10,184,0,0,0,0,0,0,739,"Chilton County, Alabama",537,458,26,81,181,53,123,264,151,143,145,168,117,96,111,103,107,126,21,134,26,26,26,26,26,26,239
"G0100230","2016-2020","AL",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01023",,,"Choctaw County, Alabama",980,636,31,78,28,0,68,59,91,78,38,46,20,26,40,3,15,0,4,0,0,11,0,0,0,0,344,"Choctaw County, Alabama",198,167,25,44,32,19,43,70,88,65,30,42,23,32,42,6,23,19,7,19,19,15,19,19,19,19,101
"G0100250","2016-2020","AL",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US01025",,,"Clarke County, Alabama",2562,1900,33,135,37,194,53,160,100,299,220,133,113,179,35,48,50,101,0,10,0,0,0,0,0,0,662,"Clarke County, Alabama",387,365,22,98,48,111,49,105,76,175,118,84,77,148,31,54,41,103,23,16,23,23,23,23,23,23,213
