GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN8FE001,AN8FE002,AN8FE003,AN8FE004,AN8FE005,AN8FE006,AN8FE007,AN8FE008,AN8FE009,AN8FE010,AN8FE011,AN8FE012,AN8FE013,AN8FE014,AN8FE015,AN8FE016,AN8FE017,AN8FE018,AN8FE019,AN8FE020,AN8FE021,AN8FE022,AN8FE023,AN8FE024,AN8FE025,AN8FE026,AN8FE027,NAME_M,AN8FM001,AN8FM002,AN8FM003,AN8FM004,AN8FM005,AN8FM006,AN8FM007,AN8FM008,AN8FM009,AN8FM010,AN8FM011,AN8FM012,AN8FM013,AN8FM014,AN8FM015,AN8FM016,AN8FM017,AN8FM018,AN8FM019,AN8FM020,AN8FM021,AN8FM022,AN8FM023,AN8FM024,AN8FM025,AN8FM026,AN8FM027
"G0100030","2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100150","2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",12161,11234,277,303,482,550,270,386,134,1490,1690,675,866,837,302,1054,270,938,325,116,145,0,0,86,0,38,927,"Calhoun County, Alabama",1770,1701,199,346,342,381,216,350,190,670,910,353,418,517,280,654,290,557,274,139,146,216,216,146,216,67,412
"G0100430","2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100490","2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100510","2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,,,,,,,,,,,,,,,,,,,,,,,,,
"G0100550","2021","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",10142,9390,565,160,78,203,220,894,249,774,754,1425,609,1562,712,79,181,519,143,76,141,0,0,0,0,46,752,"Etowah County, Alabama",1554,1495,346,119,80,276,235,440,220,455,472,562,296,811,440,134,161,483,195,127,175,216,216,216,216,81,389
"G0100690","2021","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",15812,14767,152,250,217,469,412,569,565,964,912,1488,1161,1248,1025,779,1516,1537,497,644,126,152,47,22,15,0,1045,"Houston County, Alabama",1019,974,124,153,162,209,221,257,284,314,284,542,285,371,292,295,521,534,201,228,109,107,81,25,26,216,384
"G0100730","2021","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",96153,90812,1965,1708,1220,2807,2023,1188,2273,2865,3123,4917,4350,4706,3898,5950,6003,9781,7454,12207,5450,4825,1502,243,44,310,5341,"Jefferson County, Alabama",4267,4064,849,681,648,796,957,675,1101,1129,960,1317,1076,1474,1143,1576,1398,2237,1632,2521,1385,1398,858,241,73,330,1487
"G0100770","2021","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",12650,10153,67,203,0,36,615,297,386,1048,858,687,1214,1612,904,686,490,553,221,250,0,0,26,0,0,0,2497,"Lauderdale County, Alabama",1679,1502,68,304,216,62,505,234,390,570,365,386,738,794,567,436,421,516,171,233,216,216,43,216,216,216,935
"G0100810","2021","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",23723,22390,246,300,0,0,296,630,584,693,1090,1877,1341,1024,651,2164,1732,2556,1954,3407,514,853,145,333,0,0,1333,"Lee County, Alabama",2342,2333,343,319,216,216,384,702,500,408,767,1021,852,682,504,1125,1044,1307,982,1239,399,548,274,457,216,216,724
