GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,MDGE001,MDGE002,MDGE003,NAME_M,MDGM001,MDGM002,MDGM003
"G0100030","2011","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",104704,74460,30244,"Baldwin County, Alabama",422,4575,4537
"G0100150","2011","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53357,44722,8635,"Calhoun County, Alabama",319,1678,1675
"G0100430","2011","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",37118,31954,5164,"Cullman County, Alabama",206,1234,1226
"G0100490","2011","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31336,27139,4197,"DeKalb County, Alabama",185,1036,1001
"G0100510","2011","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",33240,28469,4771,"Elmore County, Alabama",743,1549,1291
"G0100550","2011","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47353,40443,6910,"Etowah County, Alabama",264,1530,1510
"G0100690","2011","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",45703,39118,6585,"Houston County, Alabama",257,1099,1014
"G0100730","2011","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",299520,255059,44461,"Jefferson County, Alabama",1255,4014,3810
"G0100770","2011","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",44033,39331,4702,"Lauderdale County, Alabama",306,1217,1170
"G0100810","2011","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",63483,56274,7209,"Lee County, Alabama",457,1821,1761
"G0100830","2011","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",36002,32648,3354,"Limestone County, Alabama",1257,1787,1142
"G0100890","2011","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",149395,133173,16222,"Madison County, Alabama",638,2522,2469
"G0100950","2011","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40573,33750,6823,"Marshall County, Alabama",185,1601,1567
"G0100970","2011","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",180037,157783,22254,"Mobile County, Alabama",987,2632,2402
