GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,PDHE001,PDHE002,PDHE003,NAME_M,PDHM001,PDHM002,PDHM003
"G0100030","2012","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",105267,77978,27289,"Baldwin County, Alabama",565,3040,3006
"G0100150","2012","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53311,45986,7325,"Calhoun County, Alabama",387,1290,1255
"G0100430","2012","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",37084,31450,5634,"Cullman County, Alabama",283,1372,1356
"G0100490","2012","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31075,23776,7299,"DeKalb County, Alabama",181,1491,1479
"G0100510","2012","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",32901,28246,4655,"Elmore County, Alabama",383,1253,1152
"G0100550","2012","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47484,39031,8453,"Etowah County, Alabama",229,1477,1441
"G0100690","2012","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",45719,38571,7148,"Houston County, Alabama",326,888,824
"G0100730","2012","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",302009,258192,43817,"Jefferson County, Alabama",786,4179,4250
"G0100770","2012","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",43972,36791,7181,"Lauderdale County, Alabama",300,1390,1392
"G0100810","2012","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",64408,55520,8888,"Lee County, Alabama",366,2186,2160
"G0100830","2012","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",35255,32106,3149,"Limestone County, Alabama",405,1072,1055
"G0100890","2012","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",150499,135450,15049,"Madison County, Alabama",621,2393,2278
"G0100950","2012","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40356,33802,6554,"Marshall County, Alabama",202,1255,1215
"G0100970","2012","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",180484,156755,23729,"Mobile County, Alabama",1145,2701,2450
"G0101010","2012","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",102611,90244,12367,"Montgomery County, Alabama",723,1852,1734
"G0101030","2012","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",51337,46221,5116,"Morgan County, Alabama",418,1530,1373
"G0101150","2012","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",35744,32143,3601,"St. Clair County, Alabama",245,1239,1239
"G0101170","2012","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",81979,75058,6921,"Shelby County, Alabama",489,1763,1664
"G0101210","2012","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37195,31923,5272,"Talladega County, Alabama",538,1540,1337
"G0101250","2012","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",86097,67721,18376,"Tuscaloosa County, Alabama",865,2417,2255
"G0101270","2012","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",30757,26108,4649,"Walker County, Alabama",212,1183,1149
"G0200200","2012","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",113639,105569,8070,"Anchorage Municipality, Alaska",430,1780,1673
"G0200900","2012","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",41694,35944,5750,"Fairbanks North Star Borough, Alaska",394,1523,1410
"G0201700","2012","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",41326,31483,9843,"Matanuska-Susitna Borough, Alaska",180,764,725
"G0400010","2012","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32600,19634,12966,"Apache County, Arizona",160,869,867
"G0400030","2012","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",59901,49983,9918,"Cochise County, Arizona",961,1985,1641
"G0400050","2012","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",63818,46366,17452,"Coconino County, Arizona",780,1781,1629
"G0400130","2012","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1654659,1424393,230266,"Maricopa County, Arizona",1316,7925,7874
"G0400150","2012","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",111481,79239,32242,"Mohave County, Arizona",1320,3069,2676
"G0400170","2012","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",57249,35488,21761,"Navajo County, Arizona",168,1479,1475
"G0400190","2012","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",444349,386104,58245,"Pima County, Arizona",1104,4031,3750
"G0400210","2012","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",162424,126874,35550,"Pinal County, Arizona",684,3543,3591
"G0400250","2012","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",111258,93697,17561,"Yavapai County, Arizona",426,2905,2884
"G0400270","2012","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",88972,70895,18077,"Yuma County, Arizona",708,1964,1919
"G0500070","2012","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",94688,84026,10662,"Benton County, Arkansas",377,1474,1473
"G0500310","2012","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",41809,38421,3388,"Craighead County, Arkansas",365,1124,1080
"G0500450","2012","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",48093,43709,4384,"Faulkner County, Arkansas",445,1286,1245
"G0500510","2012","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50531,40656,9875,"Garland County, Arkansas",293,1805,1813
"G0500690","2012","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33099,28013,5086,"Jefferson County, Arkansas",676,1218,984
"G0500850","2012","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",27811,25384,2427,"Lonoke County, Arkansas",102,797,792
"G0501190","2012","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",178706,155125,23581,"Pulaski County, Arkansas",410,3040,2998
"G0501250","2012","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",45966,42534,3432,"Saline County, Arkansas",352,1217,1156
"G0501310","2012","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",55409,51394,4015,"Sebastian County, Arkansas",491,1342,1203
"G0501430","2012","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",88628,81423,7205,"Washington County, Arkansas",766,2353,2151
"G0501450","2012","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",32798,29089,3709,"White County, Arkansas",278,969,963
