GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AA02E001,AA02E002,AA02E003,NAME_M,AA02M001,AA02M002,AA02M003
"G0100030","2014","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",107384,71307,36077,"Baldwin County, Alabama",526,3086,3011
"G0100150","2014","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53287,46087,7200,"Calhoun County, Alabama",398,1647,1639
"G0100430","2014","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",37144,30424,6720,"Cullman County, Alabama",266,1303,1316
"G0100490","2014","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31044,24720,6324,"DeKalb County, Alabama",200,1328,1249
"G0100510","2014","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",33320,28352,4968,"Elmore County, Alabama",375,1287,1200
"G0100550","2014","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47502,39714,7788,"Etowah County, Alabama",175,1503,1452
"G0100690","2014","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",46455,38825,7630,"Houston County, Alabama",234,833,831
"G0100730","2014","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",305055,261980,43075,"Jefferson County, Alabama",963,3474,3334
"G0100770","2014","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",44348,38093,6255,"Lauderdale County, Alabama",373,1293,1251
"G0100810","2014","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",65570,57880,7690,"Lee County, Alabama",504,2012,1944
"G0100830","2014","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",35451,31638,3813,"Limestone County, Alabama",315,1357,1299
"G0100890","2014","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",154464,140771,13693,"Madison County, Alabama",876,2234,2122
"G0100950","2014","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40333,34872,5461,"Marshall County, Alabama",133,1287,1271
"G0100970","2014","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",181618,153450,28168,"Mobile County, Alabama",629,2729,2609
"G0101010","2014","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",103434,89415,14019,"Montgomery County, Alabama",586,1703,1614
"G0101030","2014","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",51500,45016,6484,"Morgan County, Alabama",364,1420,1415
"G0101150","2014","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",35850,32267,3583,"St. Clair County, Alabama",279,1254,1255
"G0101170","2014","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",83495,75714,7781,"Shelby County, Alabama",575,1580,1517
"G0101210","2014","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37175,30649,6526,"Talladega County, Alabama",484,1481,1438
"G0101250","2014","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",87795,68320,19475,"Tuscaloosa County, Alabama",638,2407,2280
"G0101270","2014","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",30673,25211,5462,"Walker County, Alabama",226,1095,1071
"G0200200","2014","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",114320,104683,9637,"Anchorage Municipality, Alaska",380,1844,1788
"G0200900","2014","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",41690,35692,5998,"Fairbanks North Star Borough, Alaska",323,1359,1337
"G0201700","2014","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",41311,30766,10545,"Matanuska-Susitna Borough, Alaska",166,689,656
"G0400010","2014","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32657,18766,13891,"Apache County, Arizona",228,832,780
"G0400030","2014","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",60506,47653,12853,"Cochise County, Arizona",475,1785,1718
"G0400050","2014","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",64215,46919,17296,"Coconino County, Arizona",791,1682,1674
"G0400130","2014","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1680184,1458064,222120,"Maricopa County, Arizona",1406,8145,8116
"G0400150","2014","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",112307,81292,31015,"Mohave County, Arizona",526,2858,2878
"G0400170","2014","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",57407,33236,24171,"Navajo County, Arizona",175,1993,2009
"G0400190","2014","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",448835,389737,59098,"Pima County, Arizona",1125,4510,4387
"G0400210","2014","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",165714,132176,33538,"Pinal County, Arizona",990,3596,3460
"G0400250","2014","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",112534,90584,21950,"Yavapai County, Arizona",377,2671,2646
"G0400270","2014","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",89909,70593,19316,"Yuma County, Arizona",621,1932,2015
"G0500070","2014","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",97543,86232,11311,"Benton County, Arkansas",291,1851,1821
"G0500310","2014","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",43308,38548,4760,"Craighead County, Arkansas",391,1519,1425
"G0500450","2014","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",48848,42782,6066,"Faulkner County, Arkansas",317,1340,1274
"G0500510","2014","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50555,39045,11510,"Garland County, Arkansas",314,1871,1830
"G0500690","2014","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33235,28494,4741,"Jefferson County, Arkansas",590,1190,1075
"G0500850","2014","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",28627,26688,1939,"Lonoke County, Arkansas",130,630,612
"G0501190","2014","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",181434,152045,29389,"Pulaski County, Arkansas",652,3168,3113
"G0501250","2014","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",46697,41587,5110,"Saline County, Arkansas",230,1329,1329
"G0501310","2014","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",56039,48779,7260,"Sebastian County, Arkansas",434,1344,1402
"G0501430","2014","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",89767,81600,8167,"Washington County, Arkansas",539,2060,1935
"G0501450","2014","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",33198,29146,4052,"White County, Arkansas",326,1266,1223
"G0600010","2014","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",592393,563601,28792,"Alameda County, California",898,3221,2957
"G0600070","2014","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",97491,85366,12125,"Butte County, California",445,2243,2217
"G0600130","2014","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",406792,387936,18856,"Contra Costa County, California",418,2538,2484
"G0600170","2014","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",88871,65804,23067,"El Dorado County, California",243,2074,2057
"G0600190","2014","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",324158,297993,26165,"Fresno County, California",467,2670,2562
"G0600230","2014","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",62329,53195,9134,"Humboldt County, California",414,1629,1625
"G0600250","2014","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",56963,43635,13328,"Imperial County, California",249,1807,1741
"G0600290","2014","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",291469,261135,30334,"Kern County, California",830,3167,3162
