GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ADAVE001,ADAVE002,ADAVE003,NAME_M,ADAVM001,ADAVM002,ADAVM003
"G0100030","2015","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",108580,72269,36311,"Baldwin County, Alabama",623,2478,2421
"G0100150","2015","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53323,44323,9000,"Calhoun County, Alabama",404,1860,1779
"G0100430","2015","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",37180,30798,6382,"Cullman County, Alabama",311,1373,1354
"G0100490","2015","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31038,26247,4791,"DeKalb County, Alabama",238,1210,1143
"G0100510","2015","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",33572,29615,3957,"Elmore County, Alabama",383,1069,1003
"G0100550","2015","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47509,39332,8177,"Etowah County, Alabama",160,1467,1448
"G0100690","2015","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",46706,38870,7836,"Houston County, Alabama",236,945,887
"G0100730","2015","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",306683,264781,41902,"Jefferson County, Alabama",733,3811,3772
"G0100770","2015","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",44375,38762,5613,"Lauderdale County, Alabama",393,1292,1318
"G0100810","2015","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",66385,58191,8194,"Lee County, Alabama",376,1704,1668
"G0100830","2015","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",35606,31590,4016,"Limestone County, Alabama",348,1339,1261
"G0100890","2015","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",156857,140959,15898,"Madison County, Alabama",949,2459,2275
"G0100950","2015","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40324,33972,6352,"Marshall County, Alabama",142,1300,1290
"G0100970","2015","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",182024,152938,29086,"Mobile County, Alabama",966,2669,2631
"G0101010","2015","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",104005,90103,13902,"Montgomery County, Alabama",650,2322,2387
"G0101030","2015","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",51586,46990,4596,"Morgan County, Alabama",354,1491,1456
"G0101150","2015","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",35902,31856,4046,"St. Clair County, Alabama",350,1252,1317
"G0101170","2015","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",84361,76798,7563,"Shelby County, Alabama",443,1465,1504
"G0101210","2015","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37211,31379,5832,"Talladega County, Alabama",555,1404,1248
"G0101250","2015","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",89081,71195,17886,"Tuscaloosa County, Alabama",597,2064,1995
