GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AFR5E001,AFR5E002,AFR5E003,NAME_M,AFR5M001,AFR5M002,AFR5M003
"G0100030","2016","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",110607,76779,33828,"Baldwin County, Alabama",500,3010,2997
"G0100150","2016","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53337,43972,9365,"Calhoun County, Alabama",475,1687,1627
"G0100430","2016","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",37265,30299,6966,"Cullman County, Alabama",309,1234,1191
"G0100490","2016","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31060,25383,5677,"DeKalb County, Alabama",230,1190,1175
"G0100510","2016","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",33751,29350,4401,"Elmore County, Alabama",411,1102,1063
"G0100550","2016","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47541,38766,8775,"Etowah County, Alabama",225,1489,1444
"G0100690","2016","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",46883,39167,7716,"Houston County, Alabama",219,959,932
"G0100730","2016","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",308553,261904,46649,"Jefferson County, Alabama",997,4316,3957
"G0100770","2016","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",44577,37875,6702,"Lauderdale County, Alabama",420,1391,1270
"G0100810","2016","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",67173,59354,7819,"Lee County, Alabama",391,1783,1781
"G0100830","2016","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",35769,31880,3889,"Limestone County, Alabama",336,1214,1242
"G0100890","2016","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",159087,143669,15418,"Madison County, Alabama",756,2833,2619
"G0100950","2016","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40344,34726,5618,"Marshall County, Alabama",142,1047,1061
"G0100970","2016","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",182640,157141,25499,"Mobile County, Alabama",839,2741,2633
"G0101010","2016","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",104618,90827,13791,"Montgomery County, Alabama",908,1963,1736
"G0101030","2016","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",51677,44816,6861,"Morgan County, Alabama",503,1847,1742
"G0101150","2016","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",36014,31615,4399,"St. Clair County, Alabama",323,1367,1339
"G0101170","2016","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",85377,76059,9318,"Shelby County, Alabama",417,1692,1769
"G0101210","2016","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37203,31517,5686,"Talladega County, Alabama",659,1635,1434
"G0101250","2016","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",89748,73825,15923,"Tuscaloosa County, Alabama",723,2003,1887
"G0101270","2016","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",30664,23863,6801,"Walker County, Alabama",212,1316,1309
"G0200200","2016","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",115539,105249,10290,"Anchorage Municipality, Alaska",387,1864,1842
"G0200900","2016","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",41565,33770,7795,"Fairbanks North Star Borough, Alaska",342,1901,1922
"G0201700","2016","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",41491,30305,11186,"Matanuska-Susitna Borough, Alaska",211,769,767
"G0400010","2016","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32798,20018,12780,"Apache County, Arizona",107,884,878
"G0400030","2016","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",60871,50147,10724,"Cochise County, Arizona",808,2119,1769
"G0400050","2016","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",65278,47408,17870,"Coconino County, Arizona",810,1957,1827
"G0400130","2016","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1711390,1521131,190259,"Maricopa County, Arizona",1247,9246,9279
"G0400150","2016","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",113817,84876,28941,"Mohave County, Arizona",822,2775,2722
"G0400170","2016","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",57813,33587,24226,"Navajo County, Arizona",212,1656,1647
"G0400190","2016","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",456576,400835,55741,"Pima County, Arizona",1219,4105,4081
"G0400210","2016","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",170708,132352,38356,"Pinal County, Arizona",979,3221,3238
"G0400250","2016","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",114797,94962,19835,"Yavapai County, Arizona",698,2874,2819
"G0400270","2016","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",91314,73072,18242,"Yuma County, Arizona",501,2001,1967
"G0500070","2016","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",102133,94494,7639,"Benton County, Arkansas",310,1606,1543
"G0500310","2016","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",44394,39813,4581,"Craighead County, Arkansas",452,1369,1231
"G0500450","2016","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",49328,43964,5364,"Faulkner County, Arkansas",455,1306,1151
"G0500510","2016","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50573,39309,11264,"Garland County, Arkansas",370,2140,2113
"G0500690","2016","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33240,26750,6490,"Jefferson County, Arkansas",828,1509,1244
"G0500850","2016","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",29163,26327,2836,"Lonoke County, Arkansas",129,934,963
"G0501190","2016","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",183282,161291,21991,"Pulaski County, Arkansas",563,2762,2693
"G0501250","2016","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",47867,43371,4496,"Saline County, Arkansas",320,1397,1320
"G0501310","2016","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",56552,51055,5497,"Sebastian County, Arkansas",499,1457,1370
"G0501430","2016","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",92027,88690,3337,"Washington County, Arkansas",643,1279,1165
"G0501450","2016","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",33354,28221,5133,"White County, Arkansas",307,1401,1412
"G0600010","2016","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",599780,572012,27768,"Alameda County, California",1020,3657,3595
"G0600070","2016","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",98439,85531,12908,"Butte County, California",739,2090,2013
"G0600130","2016","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",410814,391288,19526,"Contra Costa County, California",419,2968,2939
"G0600170","2016","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",89468,69653,19815,"El Dorado County, California",252,2207,2193
"G0600190","2016","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",327812,303216,24596,"Fresno County, California",497,2788,2694
"G0600230","2016","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",62645,54230,8415,"Humboldt County, California",478,1436,1375
"G0600250","2016","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",57386,44855,12531,"Imperial County, California",277,1612,1586
"G0600290","2016","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",295240,270359,24881,"Kern County, California",678,3011,2897
"G0600310","2016","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",45763,43090,2673,"Kings County, California",501,1044,902
"G0600330","2016","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",35664,24593,11071,"Lake County, California",223,1484,1445
"G0600370","2016","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3520811,3305589,215222,"Los Angeles County, California",2122,8089,8136
"G0600390","2016","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",50205,44369,5836,"Madera County, California",340,1495,1484
"G0600410","2016","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",112885,106333,6552,"Marin County, California",463,1579,1462
"G0600450","2016","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",40842,35439,5403,"Mendocino County, California",234,1083,1071
"G0600470","2016","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",84432,77713,6719,"Merced County, California",449,1471,1460
"G0600530","2016","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",140819,125740,15079,"Monterey County, California",568,2166,1995
"G0600550","2016","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",55535,49561,5974,"Napa County, California",352,1328,1258
