GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,AHNBE001,AHNBE002,AHNBE003,NAME_M,AHNBM001,AHNBM002,AHNBM003
"G0100030","2017","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",114158,79120,35038,"Baldwin County, Alabama",533,2586,2543
"G0100150","2017","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53786,44507,9279,"Calhoun County, Alabama",527,1715,1665
"G0100430","2017","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",37809,30740,7069,"Cullman County, Alabama",331,1568,1493
"G0100490","2017","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31527,25848,5679,"DeKalb County, Alabama",233,1206,1175
"G0100510","2017","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",34252,29176,5076,"Elmore County, Alabama",368,1426,1356
"G0100550","2017","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47751,37091,10660,"Etowah County, Alabama",186,1718,1673
"G0100690","2017","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",47427,39106,8321,"Houston County, Alabama",263,969,946
"G0100730","2017","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",308822,259324,49498,"Jefferson County, Alabama",1120,4069,3764
"G0100770","2017","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",44834,38215,6619,"Lauderdale County, Alabama",399,1422,1347
"G0100810","2017","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",68921,58555,10366,"Lee County, Alabama",418,1892,1849
"G0100830","2017","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",36249,32816,3433,"Limestone County, Alabama",323,1154,1026
"G0100890","2017","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",161780,147892,13888,"Madison County, Alabama",614,2670,2604
"G0100950","2017","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40700,34083,6617,"Marshall County, Alabama",153,1546,1529
"G0100970","2017","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",183912,154683,29229,"Mobile County, Alabama",474,2623,2583
"G0101010","2017","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",104865,88554,16311,"Montgomery County, Alabama",683,2328,2171
"G0101030","2017","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",52089,45360,6729,"Morgan County, Alabama",544,1666,1501
"G0101150","2017","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",36983,33241,3742,"St. Clair County, Alabama",303,1228,1251
"G0101170","2017","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",87250,78666,8584,"Shelby County, Alabama",425,1740,1691
"G0101210","2017","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",37781,31759,6022,"Talladega County, Alabama",584,1666,1448
"G0101250","2017","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",91820,72243,19577,"Tuscaloosa County, Alabama",593,2156,2149
"G0101270","2017","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",31132,25231,5901,"Walker County, Alabama",255,1131,1041
"G0200200","2017","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",117298,107373,9925,"Anchorage Municipality, Alaska",446,1962,1984
"G0200900","2017","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",44302,35046,9256,"Fairbanks North Star Borough, Alaska",432,1911,1912
"G0201700","2017","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",41889,29443,12446,"Matanuska-Susitna Borough, Alaska",187,714,670
"G0400010","2017","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",32864,20550,12314,"Apache County, Arizona",106,889,900
"G0400030","2017","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",61064,48939,12125,"Cochise County, Arizona",575,2023,1925
"G0400050","2017","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",66057,47977,18080,"Coconino County, Arizona",1121,2031,1677
"G0400130","2017","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1738201,1536579,201622,"Maricopa County, Arizona",1703,7831,7332
"G0400150","2017","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",114497,87565,26932,"Mohave County, Arizona",558,2751,2655
"G0400170","2017","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",57836,36094,21742,"Navajo County, Arizona",232,1644,1611
"G0400190","2017","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",459912,403574,56338,"Pima County, Arizona",1044,3977,3873
"G0400210","2017","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",173676,139097,34579,"Pinal County, Arizona",776,3499,3409
"G0400250","2017","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",116534,98369,18165,"Yavapai County, Arizona",797,2960,2883
"G0400270","2017","AZ",,,"Arizona","04","Yuma County","027",,,,,,,,,,,,,,,,,,"05000US04027","Yuma County, Arizona",92441,74620,17821,"Yuma County, Arizona",372,2261,2216
"G0500070","2017","AR",,,"Arkansas","05","Benton County","007",,,,,,,,,,,,,,,,,,"05000US05007","Benton County, Arkansas",105272,97134,8138,"Benton County, Arkansas",317,1708,1646
"G0500310","2017","AR",,,"Arkansas","05","Craighead County","031",,,,,,,,,,,,,,,,,,"05000US05031","Craighead County, Arkansas",45492,42115,3377,"Craighead County, Arkansas",437,1290,1124
"G0500450","2017","AR",,,"Arkansas","05","Faulkner County","045",,,,,,,,,,,,,,,,,,"05000US05045","Faulkner County, Arkansas",50101,44870,5231,"Faulkner County, Arkansas",266,1319,1272
"G0500510","2017","AR",,,"Arkansas","05","Garland County","051",,,,,,,,,,,,,,,,,,"05000US05051","Garland County, Arkansas",50977,38594,12383,"Garland County, Arkansas",338,1792,1760
"G0500690","2017","AR",,,"Arkansas","05","Jefferson County","069",,,,,,,,,,,,,,,,,,"05000US05069","Jefferson County, Arkansas",33337,26537,6800,"Jefferson County, Arkansas",732,1657,1395
"G0500850","2017","AR",,,"Arkansas","05","Lonoke County","085",,,,,,,,,,,,,,,,,,"05000US05085","Lonoke County, Arkansas",29377,27121,2256,"Lonoke County, Arkansas",126,809,797
"G0501190","2017","AR",,,"Arkansas","05","Pulaski County","119",,,,,,,,,,,,,,,,,,"05000US05119","Pulaski County, Arkansas",184205,156546,27659,"Pulaski County, Arkansas",607,2979,2891
"G0501250","2017","AR",,,"Arkansas","05","Saline County","125",,,,,,,,,,,,,,,,,,"05000US05125","Saline County, Arkansas",48885,44420,4465,"Saline County, Arkansas",264,1474,1408
"G0501310","2017","AR",,,"Arkansas","05","Sebastian County","131",,,,,,,,,,,,,,,,,,"05000US05131","Sebastian County, Arkansas",56858,50734,6124,"Sebastian County, Arkansas",447,1807,1761
"G0501430","2017","AR",,,"Arkansas","05","Washington County","143",,,,,,,,,,,,,,,,,,"05000US05143","Washington County, Arkansas",93743,85290,8453,"Washington County, Arkansas",678,2391,2219
"G0501450","2017","AR",,,"Arkansas","05","White County","145",,,,,,,,,,,,,,,,,,"05000US05145","White County, Arkansas",33821,29067,4754,"White County, Arkansas",286,1396,1316
"G0600010","2017","CA",,,"California","06","Alameda County","001",,,,,,,,,,,,,,,,,,"05000US06001","Alameda County, California",606053,573589,32464,"Alameda County, California",965,3461,3310
"G0600070","2017","CA",,,"California","06","Butte County","007",,,,,,,,,,,,,,,,,,"05000US06007","Butte County, California",99405,88797,10608,"Butte County, California",783,2187,1945
"G0600130","2017","CA",,,"California","06","Contra Costa County","013",,,,,,,,,,,,,,,,,,"05000US06013","Contra Costa County, California",414055,392046,22009,"Contra Costa County, California",372,2369,2360
"G0600170","2017","CA",,,"California","06","El Dorado County","017",,,,,,,,,,,,,,,,,,"05000US06017","El Dorado County, California",90311,69368,20943,"El Dorado County, California",241,2127,2097
"G0600190","2017","CA",,,"California","06","Fresno County","019",,,,,,,,,,,,,,,,,,"05000US06019","Fresno County, California",330958,305819,25139,"Fresno County, California",470,2635,2589
"G0600230","2017","CA",,,"California","06","Humboldt County","023",,,,,,,,,,,,,,,,,,"05000US06023","Humboldt County, California",63012,53446,9566,"Humboldt County, California",430,1854,1812
"G0600250","2017","CA",,,"California","06","Imperial County","025",,,,,,,,,,,,,,,,,,"05000US06025","Imperial County, California",57742,44478,13264,"Imperial County, California",221,1682,1695
"G0600290","2017","CA",,,"California","06","Kern County","029",,,,,,,,,,,,,,,,,,"05000US06029","Kern County, California",297873,269147,28726,"Kern County, California",680,3367,3419
"G0600310","2017","CA",,,"California","06","Kings County","031",,,,,,,,,,,,,,,,,,"05000US06031","Kings County, California",46399,43029,3370,"Kings County, California",332,1015,939
"G0600330","2017","CA",,,"California","06","Lake County","033",,,,,,,,,,,,,,,,,,"05000US06033","Lake County, California",35943,27399,8544,"Lake County, California",282,1363,1369
"G0600370","2017","CA",,,"California","06","Los Angeles County","037",,,,,,,,,,,,,,,,,,"05000US06037","Los Angeles County, California",3542835,3311231,231604,"Los Angeles County, California",1940,8549,8249
"G0600390","2017","CA",,,"California","06","Madera County","039",,,,,,,,,,,,,,,,,,"05000US06039","Madera County, California",50582,46282,4300,"Madera County, California",379,1219,1127
"G0600410","2017","CA",,,"California","06","Marin County","041",,,,,,,,,,,,,,,,,,"05000US06041","Marin County, California",113128,104219,8909,"Marin County, California",560,2062,2031
"G0600450","2017","CA",,,"California","06","Mendocino County","045",,,,,,,,,,,,,,,,,,"05000US06045","Mendocino County, California",41111,32599,8512,"Mendocino County, California",306,1509,1463
"G0600470","2017","CA",,,"California","06","Merced County","047",,,,,,,,,,,,,,,,,,"05000US06047","Merced County, California",85267,80969,4298,"Merced County, California",435,1208,1078
"G0600530","2017","CA",,,"California","06","Monterey County","053",,,,,,,,,,,,,,,,,,"05000US06053","Monterey County, California",141653,125518,16135,"Monterey County, California",477,2011,1915
"G0600550","2017","CA",,,"California","06","Napa County","055",,,,,,,,,,,,,,,,,,"05000US06055","Napa County, California",55858,47848,8010,"Napa County, California",279,1322,1275
"G0600570","2017","CA",,,"California","06","Nevada County","057",,,,,,,,,,,,,,,,,,"05000US06057","Nevada County, California",53869,41638,12231,"Nevada County, California",265,1685,1635
"G0600590","2017","CA",,,"California","06","Orange County","059",,,,,,,,,,,,,,,,,,"05000US06059","Orange County, California",1102088,1037312,64776,"Orange County, California",958,5286,5034
"G0600610","2017","CA",,,"California","06","Placer County","061",,,,,,,,,,,,,,,,,,"05000US06061","Placer County, California",163927,143659,20268,"Placer County, California",376,1895,1812
"G0600650","2017","CA",,,"California","06","Riverside County","065",,,,,,,,,,,,,,,,,,"05000US06065","Riverside County, California",840273,718733,121540,"Riverside County, California",1373,5454,5318
"G0600670","2017","CA",,,"California","06","Sacramento County","067",,,,,,,,,,,,,,,,,,"05000US06067","Sacramento County, California",569768,543250,26518,"Sacramento County, California",1024,3675,3302
"G0600710","2017","CA",,,"California","06","San Bernardino County","071",,,,,,,,,,,,,,,,,,"05000US06071","San Bernardino County, California",719259,626223,93036,"San Bernardino County, California",1542,4247,4035
"G0600730","2017","CA",,,"California","06","San Diego County","073",,,,,,,,,,,,,,,,,,"05000US06073","San Diego County, California",1214271,1126419,87852,"San Diego County, California",1461,6245,6004
"G0600750","2017","CA",,,"California","06","San Francisco County","075",,,,,,,,,,,,,,,,,,"05000US06075","San Francisco County, California",397566,360323,37243,"San Francisco County, California",1185,4331,4309
"G0600770","2017","CA",,,"California","06","San Joaquin County","077",,,,,,,,,,,,,,,,,,"05000US06077","San Joaquin County, California",242821,226624,16197,"San Joaquin County, California",1433,2501,1987
"G0600790","2017","CA",,,"California","06","San Luis Obispo County","079",,,,,,,,,,,,,,,,,,"05000US06079","San Luis Obispo County, California",121918,104544,17374,"San Luis Obispo County, California",1165,2839,2494
"G0600810","2017","CA",,,"California","06","San Mateo County","081",,,,,,,,,,,,,,,,,,"05000US06081","San Mateo County, California",278093,264185,13908,"San Mateo County, California",594,2424,2266
"G0600830","2017","CA",,,"California","06","Santa Barbara County","083",,,,,,,,,,,,,,,,,,"05000US06083","Santa Barbara County, California",157049,147466,9583,"Santa Barbara County, California",714,1981,1825
"G0600850","2017","CA",,,"California","06","Santa Clara County","085",,,,,,,,,,,,,,,,,,"05000US06085","Santa Clara County, California",671151,633811,37340,"Santa Clara County, California",762,3358,3095
"G0600870","2017","CA",,,"California","06","Santa Cruz County","087",,,,,,,,,,,,,,,,,,"05000US06087","Santa Cruz County, California",106329,95940,10389,"Santa Cruz County, California",661,2122,2080
"G0600890","2017","CA",,,"California","06","Shasta County","089",,,,,,,,,,,,,,,,,,"05000US06089","Shasta County, California",78846,71968,6878,"Shasta County, California",346,1295,1274
"G0600950","2017","CA",,,"California","06","Solano County","095",,,,,,,,,,,,,,,,,,"05000US06095","Solano County, California",157915,151127,6788,"Solano County, California",495,1649,1643
"G0600970","2017","CA",,,"California","06","Sonoma County","097",,,,,,,,,,,,,,,,,,"05000US06097","Sonoma County, California",209308,188829,20479,"Sonoma County, California",461,2691,2661
"G0600990","2017","CA",,,"California","06","Stanislaus County","099",,,,,,,,,,,,,,,,,,"05000US06099","Stanislaus County, California",181595,173573,8022,"Stanislaus County, California",378,1630,1615
"G0601010","2017","CA",,,"California","06","Sutter County","101",,,,,,,,,,,,,,,,,,"05000US06101","Sutter County, California",34404,31945,2459,"Sutter County, California",175,907,898
"G0601070","2017","CA",,,"California","06","Tulare County","107",,,,,,,,,,,,,,,,,,"05000US06107","Tulare County, California",148986,137576,11410,"Tulare County, California",309,1924,2041
"G0601110","2017","CA",,,"California","06","Ventura County","111",,,,,,,,,,,,,,,,,,"05000US06111","Ventura County, California",288778,272085,16693,"Ventura County, California",595,2513,2452
"G0601130","2017","CA",,,"California","06","Yolo County","113",,,,,,,,,,,,,,,,,,"05000US06113","Yolo County, California",77948,73495,4453,"Yolo County, California",465,1504,1364
"G0601150","2017","CA",,,"California","06","Yuba County","115",,,,,,,,,,,,,,,,,,"05000US06115","Yuba County, California",28604,26228,2376,"Yuba County, California",268,907,881
"G0800010","2017","CO",,,"Colorado","08","Adams County","001",,,,,,,,,,,,,,,,,,"05000US08001","Adams County, Colorado",173142,165730,7412,"Adams County, Colorado",507,1819,1722
"G0800050","2017","CO",,,"Colorado","08","Arapahoe County","005",,,,,,,,,,,,,,,,,,"05000US08005","Arapahoe County, Colorado",251714,240774,10940,"Arapahoe County, Colorado",611,2112,1953
"G0800130","2017","CO",,,"Colorado","08","Boulder County","013",,,,,,,,,,,,,,,,,,"05000US08013","Boulder County, Colorado",135931,128497,7434,"Boulder County, Colorado",688,1759,1591
"G0800140","2017","CO",,,"Colorado","08","Broomfield County","014",,,,,,,,,,,,,,,,,,"05000US08014","Broomfield County, Colorado",28534,27665,869,"Broomfield County, Colorado",112,629,620
"G0800310","2017","CO",,,"Colorado","08","Denver County","031",,,,,,,,,,,,,,,,,,"05000US08031","Denver County, Colorado",320551,296938,23613,"Denver County, Colorado",1100,2993,2907
"G0800350","2017","CO",,,"Colorado","08","Douglas County","035",,,,,,,,,,,,,,,,,,"05000US08035","Douglas County, Colorado",124470,119151,5319,"Douglas County, Colorado",306,1850,1802
"G0800410","2017","CO",,,"Colorado","08","El Paso County","041",,,,,,,,,,,,,,,,,,"05000US08041","El Paso County, Colorado",271817,258158,13659,"El Paso County, Colorado",532,2406,2208
"G0800590","2017","CO",,,"Colorado","08","Jefferson County","059",,,,,,,,,,,,,,,,,,"05000US08059","Jefferson County, Colorado",241114,231651,9463,"Jefferson County, Colorado",789,1904,1821
"G0800690","2017","CO",,,"Colorado","08","Larimer County","069",,,,,,,,,,,,,,,,,,"05000US08069","Larimer County, Colorado",148552,134709,13843,"Larimer County, Colorado",703,2471,2256
"G0800770","2017","CO",,,"Colorado","08","Mesa County","077",,,,,,,,,,,,,,,,,,"05000US08077","Mesa County, Colorado",66404,61763,4641,"Mesa County, Colorado",317,1535,1465
"G0801010","2017","CO",,,"Colorado","08","Pueblo County","101",,,,,,,,,,,,,,,,,,"05000US08101","Pueblo County, Colorado",71116,65098,6018,"Pueblo County, Colorado",386,1367,1296
"G0801230","2017","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,"05000US08123","Weld County, Colorado",109893,104611,5282,"Weld County, Colorado",510,1323,1348
