GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,NAME_E,ALIME001,ALIME002,ALIME003,NAME_M,ALIMM001,ALIMM002,ALIMM003
"G0100030","2019","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"05000US01003","Baldwin County, Alabama",119425,82325,37100,"Baldwin County, Alabama",483,3231,3162
"G0100150","2019","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"05000US01015","Calhoun County, Alabama",53809,44636,9173,"Calhoun County, Alabama",404,2010,1965
"G0100430","2019","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"05000US01043","Cullman County, Alabama",38256,32090,6166,"Cullman County, Alabama",332,1233,1212
"G0100490","2019","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"05000US01049","DeKalb County, Alabama",31606,24880,6726,"DeKalb County, Alabama",256,1347,1304
"G0100510","2019","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"05000US01051","Elmore County, Alabama",34481,30712,3769,"Elmore County, Alabama",471,1330,1161
"G0100550","2019","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"05000US01055","Etowah County, Alabama",47855,40053,7802,"Etowah County, Alabama",203,1930,1893
"G0100690","2019","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"05000US01069","Houston County, Alabama",48138,39761,8377,"Houston County, Alabama",294,1040,989
"G0100730","2019","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"05000US01073","Jefferson County, Alabama",309673,264753,44920,"Jefferson County, Alabama",1114,3376,3182
"G0100770","2019","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"05000US01077","Lauderdale County, Alabama",45616,38761,6855,"Lauderdale County, Alabama",420,1573,1478
"G0100810","2019","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"05000US01081","Lee County, Alabama",71228,64448,6780,"Lee County, Alabama",463,1810,1668
"G0100830","2019","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"05000US01083","Limestone County, Alabama",36520,32020,4500,"Limestone County, Alabama",364,1530,1496
"G0100890","2019","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"05000US01089","Madison County, Alabama",166523,155878,10645,"Madison County, Alabama",797,2604,2378
"G0100950","2019","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"05000US01095","Marshall County, Alabama",40798,35330,5468,"Marshall County, Alabama",154,1274,1287
"G0100970","2019","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"05000US01097","Mobile County, Alabama",185062,155946,29116,"Mobile County, Alabama",563,2876,2793
"G0101010","2019","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"05000US01101","Montgomery County, Alabama",105314,88864,16450,"Montgomery County, Alabama",927,2242,2101
"G0101030","2019","AL",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,"05000US01103","Morgan County, Alabama",52403,46470,5933,"Morgan County, Alabama",518,1676,1519
"G0101150","2019","AL",,,"Alabama","01","St. Clair County","115",,,,,,,,,,,,,,,,,,"05000US01115","St. Clair County, Alabama",37258,32829,4429,"St. Clair County, Alabama",286,1261,1238
"G0101170","2019","AL",,,"Alabama","01","Shelby County","117",,,,,,,,,,,,,,,,,,"05000US01117","Shelby County, Alabama",89139,84048,5091,"Shelby County, Alabama",496,1602,1547
"G0101210","2019","AL",,,"Alabama","01","Talladega County","121",,,,,,,,,,,,,,,,,,"05000US01121","Talladega County, Alabama",38095,30602,7493,"Talladega County, Alabama",767,1841,1647
"G0101250","2019","AL",,,"Alabama","01","Tuscaloosa County","125",,,,,,,,,,,,,,,,,,"05000US01125","Tuscaloosa County, Alabama",92799,74259,18540,"Tuscaloosa County, Alabama",785,2679,2572
"G0101270","2019","AL",,,"Alabama","01","Walker County","127",,,,,,,,,,,,,,,,,,"05000US01127","Walker County, Alabama",31343,25153,6190,"Walker County, Alabama",266,1223,1197
"G0200200","2019","AK",,,"Alaska","02","Anchorage Municipality","020",,,,,,,,,,,,,,,,,,"05000US02020","Anchorage Municipality, Alaska",119272,105198,14074,"Anchorage Municipality, Alaska",490,2489,2481
"G0200900","2019","AK",,,"Alaska","02","Fairbanks North Star Borough","090",,,,,,,,,,,,,,,,,,"05000US02090","Fairbanks North Star Borough, Alaska",44316,35556,8760,"Fairbanks North Star Borough, Alaska",393,1761,1797
"G0201700","2019","AK",,,"Alaska","02","Matanuska-Susitna Borough","170",,,,,,,,,,,,,,,,,,"05000US02170","Matanuska-Susitna Borough, Alaska",42134,32736,9398,"Matanuska-Susitna Borough, Alaska",417,739,688
"G0400010","2019","AZ",,,"Arizona","04","Apache County","001",,,,,,,,,,,,,,,,,,"05000US04001","Apache County, Arizona",33021,20925,12096,"Apache County, Arizona",109,946,956
"G0400030","2019","AZ",,,"Arizona","04","Cochise County","003",,,,,,,,,,,,,,,,,,"05000US04003","Cochise County, Arizona",61588,51982,9606,"Cochise County, Arizona",481,1532,1523
"G0400050","2019","AZ",,,"Arizona","04","Coconino County","005",,,,,,,,,,,,,,,,,,"05000US04005","Coconino County, Arizona",67491,48993,18498,"Coconino County, Arizona",706,2018,1766
"G0400130","2019","AZ",,,"Arizona","04","Maricopa County","013",,,,,,,,,,,,,,,,,,"05000US04013","Maricopa County, Arizona",1789265,1611722,177543,"Maricopa County, Arizona",1136,9030,9068
"G0400150","2019","AZ",,,"Arizona","04","Mohave County","015",,,,,,,,,,,,,,,,,,"05000US04015","Mohave County, Arizona",116201,91095,25106,"Mohave County, Arizona",527,3289,3190
"G0400170","2019","AZ",,,"Arizona","04","Navajo County","017",,,,,,,,,,,,,,,,,,"05000US04017","Navajo County, Arizona",58501,38732,19769,"Navajo County, Arizona",235,1795,1820
"G0400190","2019","AZ",,,"Arizona","04","Pima County","019",,,,,,,,,,,,,,,,,,"05000US04019","Pima County, Arizona",466337,410404,55933,"Pima County, Arizona",1298,5277,5082
"G0400210","2019","AZ",,,"Arizona","04","Pinal County","021",,,,,,,,,,,,,,,,,,"05000US04021","Pinal County, Arizona",181389,153413,27976,"Pinal County, Arizona",1546,3559,3096
"G0400250","2019","AZ",,,"Arizona","04","Yavapai County","025",,,,,,,,,,,,,,,,,,"05000US04025","Yavapai County, Arizona",120652,102784,17868,"Yavapai County, Arizona",525,2449,2380
