GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,TL_GEO_ID,NAME_E,AN6BE001,AN6BE002,AN6BE003,NAME_M,AN6BM001,AN6BM002,AN6BM003
"G0100030","2021","AL",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,"0500000US01003","01003","Baldwin County, Alabama",128533,94105,34428,"Baldwin County, Alabama",889,3462,3410
"G0100150","2021","AL",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,"0500000US01015","01015","Calhoun County, Alabama",53211,44631,8580,"Calhoun County, Alabama",656,1889,1750
"G0100430","2021","AL",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,"0500000US01043","01043","Cullman County, Alabama",39465,35131,4334,"Cullman County, Alabama",186,1361,1350
"G0100490","2021","AL",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,"0500000US01049","01049","DeKalb County, Alabama",30774,24979,5795,"DeKalb County, Alabama",204,1117,1105
"G0100510","2021","AL",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,"0500000US01051","01051","Elmore County, Alabama",37081,32108,4973,"Elmore County, Alabama",602,1460,1304
"G0100550","2021","AL",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,"0500000US01055","01055","Etowah County, Alabama",47420,38006,9414,"Etowah County, Alabama",194,1724,1691
"G0100690","2021","AL",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,"0500000US01069","01069","Houston County, Alabama",49737,44058,5679,"Houston County, Alabama",206,937,917
"G0100730","2021","AL",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,"0500000US01073","01073","Jefferson County, Alabama",309206,270147,39059,"Jefferson County, Alabama",1203,3778,3379
"G0100770","2021","AL",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,"0500000US01077","01077","Lauderdale County, Alabama",44721,38250,6471,"Lauderdale County, Alabama",387,1562,1497
"G0100810","2021","AL",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,"0500000US01081","01081","Lee County, Alabama",77656,67358,10298,"Lee County, Alabama",464,2031,1921
"G0100830","2021","AL",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,"0500000US01083","01083","Limestone County, Alabama",43361,40685,2676,"Limestone County, Alabama",306,1358,1318
"G0100890","2021","AL",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,"0500000US01089","01089","Madison County, Alabama",174149,164493,9656,"Madison County, Alabama",1112,2228,2019
"G0100950","2021","AL",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,"0500000US01095","01095","Marshall County, Alabama",41502,36003,5499,"Marshall County, Alabama",241,1538,1505
"G0100970","2021","AL",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,"0500000US01097","01097","Mobile County, Alabama",185315,162963,22352,"Mobile County, Alabama",606,2840,2768
"G0101010","2021","AL",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,"0500000US01101","01101","Montgomery County, Alabama",105705,92407,13298,"Montgomery County, Alabama",891,2282,2145
